window,kind,rise,pullback,tp,stop,breakout_veto,exit_mode,signals,executed,execution_rate,net_win_rate,win_wilson_low95,avg_net_per_trade,median_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,trail_count,stop_count
year_2024,pullback,0.003,0.004,0.02,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.004,0.02,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.009175005228695311,0.009737559220582517,0.007864290196024552,1123.100766850017,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.003,0.004,0.025,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007117646751974518,0.0028055020836795326,0.006100840073121015,859.9666355350141,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.004,0.025,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007117646751974518,0.0028055020836795326,0.006100840073121015,859.9666355350141,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.004,0.03,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007951405089474525,0.0028055020836795326,0.00681549007669245,957.416310022015,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.004,0.03,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007951405089474525,0.0028055020836795326,0.00681549007669245,957.416310022015,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.005,,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.003,0.005,,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.003,0.005,0.015,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.005,0.015,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.005,0.015,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007880427282827698,0.009603969618683554,0.006754651956709455,973.0242661000165,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.003,0.005,0.02,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.005,0.02,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.005,0.02,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.009175005228695311,0.009737559220582517,0.007864290196024552,1123.100766850017,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.003,0.005,0.025,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007117646751974518,0.0028055020836795326,0.006100840073121015,859.9666355350141,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.005,0.025,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007117646751974518,0.0028055020836795326,0.006100840073121015,859.9666355350141,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.005,0.03,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007951405089474525,0.0028055020836795326,0.00681549007669245,957.416310022015,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.005,0.03,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007951405089474525,0.0028055020836795326,0.00681549007669245,957.416310022015,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.005,0.003,,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.005,0.003,,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.005,0.003,0.015,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.005,0.003,0.015,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.005,0.003,0.015,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007880427282827698,0.009603969618683554,0.006754651956709455,973.0242661000165,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.005,0.003,0.02,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.005,0.003,0.02,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
