date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-04-23,15:00,SELL,1000,13.96,13953.02,19.2320804,0.0,17944.630908500018,0,close_proxy
2020-04-24,09:25,BUY,1000,13.96,13966.98,5.2793396,0.0,3972.3715689000182,1000,open_proxy
2020-04-29,15:00,SELL,1000,14.24,14232.880000000001,19.517537600000004,0.0,18185.734031300017,0,close_proxy
2020-04-30,09:25,BUY,1000,14.31,14317.154999999999,5.2863431,0.0,3863.2926882000174,1000,open_proxy
2020-05-06,15:00,SELL,1000,14.76,14752.62,20.047672400000003,0.0,18595.865015800016,0,close_proxy
2020-05-07,09:25,BUY,1000,14.75,14757.375,5.2951475,0.0,3833.1948683000155,1000,open_proxy
2020-05-20,15:00,SELL,1000,13.85,13843.075,19.1199365,0.0,17657.149931800017,0,close_proxy
2020-05-21,09:25,BUY,1000,13.88,13886.939999999999,5.2777388,0.0,3764.9321930000187,1000,open_proxy
2020-05-27,15:00,SELL,1000,13.48,13473.26,18.742725200000002,0.0,17219.44946780002,0,close_proxy
2020-05-28,09:25,BUY,1000,13.5,13506.75,5.270135,0.0,3707.4293328000185,1000,open_proxy
2020-06-01,15:00,SELL,1000,13.88,13873.060000000001,19.1505212,0.0,17561.33881160002,0,close_proxy
2020-06-02,09:25,BUY,1000,13.9,13906.949999999999,5.278139,0.0,3649.1106726000216,1000,open_proxy
2020-06-17,15:00,SELL,1000,14.25,14242.875,19.5277325,0.0,17872.457940100023,0,close_proxy
2020-06-18,09:25,BUY,1000,14.25,14257.125,5.2851425,0.0,3610.047797600022,1000,open_proxy
2020-06-19,15:00,SELL,1000,14.35,14342.825,19.629681500000004,0.0,17933.24311610002,0,close_proxy
2020-06-22,09:25,BUY,1000,14.36,14367.179999999998,5.2873436,0.0,3560.775772500021,1000,open_proxy
2020-06-29,15:00,SELL,1000,15.22,15212.390000000001,20.5166378,0.0,18752.649134700023,0,close_proxy
2020-06-30,09:25,BUY,1000,15.19,15197.595,5.3039519,0.0,3549.750182800024,1000,open_proxy
2020-07-02,15:00,SELL,1000,15.61,15602.195000000002,20.9142389,0.0,19131.030943900027,0,close_proxy
2020-07-03,09:25,BUY,1000,15.65,15657.824999999999,5.3131565,0.0,3467.8927874000274,1000,open_proxy
2020-07-09,15:00,SELL,1000,16.72,16711.64,22.0458728,0.0,20157.486914600027,0,close_proxy
2020-07-10,09:25,BUY,1000,16.68,16688.34,5.3337668,0.0,3463.8131478000287,1000,open_proxy
2020-07-14,15:00,SELL,1000,16.59,16581.705,21.9133391,0.0,20023.60480870003,0,close_proxy
2020-07-15,09:25,BUY,1000,16.83,16838.415,5.3367683,0.0,3179.8530404000303,1000,open_proxy
2020-07-21,15:00,SELL,1000,15.43,15422.285000000002,20.730730700000002,0.0,18581.407309700033,0,close_proxy
2020-07-22,09:25,BUY,1000,15.44,15447.72,5.3089544,0.0,3128.378355300034,1000,open_proxy
2020-07-30,15:00,SELL,1000,14.29,14282.855000000001,19.568512100000003,0.0,17391.664843200037,0,close_proxy
2020-07-31,09:25,BUY,1000,14.28,14287.14,5.2857428,0.0,3099.2391004000365,1000,open_proxy
2020-08-13,15:00,SELL,1000,15.17,15162.415,20.465663300000003,0.0,18241.188437100038,0,close_proxy
2020-08-14,09:25,BUY,1000,15.01,15017.505,5.3003501,0.0,3218.3830870000384,1000,open_proxy
2020-08-18,15:00,SELL,1000,15.18,15172.410000000002,20.475858200000005,0.0,18370.317228800042,0,close_proxy
2020-08-19,09:25,BUY,1000,15.18,15187.589999999998,5.3037518,0.0,3177.423477000044,1000,open_proxy
2020-08-28,15:00,SELL,1000,14.75,14742.625,20.0374775,0.0,17900.010999500046,0,close_proxy
2020-08-31,09:25,BUY,1000,14.84,14847.42,5.2969484,0.0,3047.294051100045,1000,open_proxy
2020-09-02,15:00,SELL,1000,14.77,14762.615000000002,20.057867300000005,0.0,17789.85118380005,0,close_proxy
2020-09-03,09:25,BUY,1000,14.84,14847.42,5.2969484,0.0,2937.134235400048,1000,open_proxy
2020-09-09,15:00,SELL,1000,13.91,13903.045,19.1811059,0.0,16820.998129500047,0,close_proxy
2020-09-10,09:25,BUY,1000,14.0,14007.0,5.28014,0.0,2808.7179895000463,1000,open_proxy
2020-09-14,15:00,SELL,1000,13.85,13843.075,19.1199365,0.0,16632.67305300005,0,close_proxy
2020-09-15,09:25,BUY,1000,13.83,13836.914999999999,5.2767383,0.0,2790.4813147000514,1000,open_proxy
2020-09-21,15:00,SELL,1000,13.74,13733.130000000001,19.007792600000002,0.0,16504.603522100053,0,close_proxy
2020-09-22,09:25,BUY,1000,13.65,13656.824999999999,5.2731365,0.0,2842.505385600054,1000,open_proxy
2020-10-13,15:00,SELL,1000,13.93,13923.035000000002,19.201495700000002,0.0,16746.338889900057,0,close_proxy
2020-10-14,09:25,BUY,1000,13.8,13806.9,5.2761379999999996,0.0,2934.1627519000576,1000,open_proxy
2020-10-21,15:00,SELL,1000,13.64,13633.18,18.9058436,0.0,16548.436908300057,0,close_proxy
2020-10-22,09:25,BUY,1000,13.58,13586.789999999999,5.2717358,0.0,2956.3751725000566,1000,open_proxy
2020-10-23,15:00,SELL,1000,13.59,13583.205,18.854869100000002,0.0,16520.725303400057,0,close_proxy
2020-10-26,09:25,BUY,1000,13.57,13576.785,5.2715357,0.0,2938.6687677000573,1000,open_proxy
2020-10-28,15:00,SELL,1000,13.94,13933.03,19.211690600000004,0.0,16852.487077100057,0,close_proxy
2020-10-29,09:25,BUY,1000,13.76,13766.88,5.2753376,0.0,3080.3317395000577,1000,open_proxy
2020-11-04,15:00,SELL,1000,13.47,13463.265000000001,18.7325303,0.0,16524.86420920006,0,close_proxy
2020-11-05,09:25,BUY,1000,13.68,13686.84,5.2737368,0.0,2832.750472400059,1000,open_proxy
2020-11-06,15:00,SELL,1000,14.0,13993.0,19.27286,0.0,16806.47761240006,0,close_proxy
2020-11-09,09:25,BUY,1000,14.27,14277.134999999998,5.2855427,0.0,2524.057069700062,1000,open_proxy
2020-11-16,15:00,SELL,1000,14.28,14272.86,19.5583172,0.0,16777.358752500062,0,close_proxy
2020-11-17,09:25,BUY,1000,14.26,14267.13,5.2853426,0.0,2504.9434099000628,1000,open_proxy
2020-12-02,15:00,SELL,1000,14.05,14042.975,19.323834500000004,0.0,16528.594575400064,0,close_proxy
2020-12-03,09:25,BUY,1000,14.0,14007.0,5.28014,0.0,2516.3144354000633,1000,open_proxy
2020-12-09,15:00,SELL,1000,13.82,13813.09,19.089351800000003,0.0,16310.315083600064,0,close_proxy
2020-12-10,09:25,BUY,1000,13.76,13766.88,5.2753376,0.0,2538.159746000065,1000,open_proxy
2020-12-15,15:00,SELL,1000,13.56,13553.220000000001,18.824284400000003,0.0,16072.555461600066,0,close_proxy
2020-12-16,09:25,BUY,1000,13.56,13566.779999999999,5.2713356000000005,0.0,2500.504126000067,1000,open_proxy
2020-12-18,15:00,SELL,1000,13.65,13643.175000000001,18.916038500000003,0.0,16124.763087500069,0,close_proxy
2020-12-21,09:25,BUY,1000,13.6,13606.8,5.272136,0.0,2512.69095150007,1000,open_proxy
2020-12-24,15:00,SELL,1000,13.38,13373.310000000001,18.640776200000005,0.0,15867.360175300071,0,close_proxy
2020-12-25,09:25,BUY,1000,13.35,13356.675,5.2671335,0.0,2505.4180418000724,1000,open_proxy
2020-12-28,15:00,SELL,1000,13.27,13263.365000000002,18.5286323,0.0,15750.254409500074,0,close_proxy
2020-12-29,09:25,BUY,1000,13.32,13326.66,5.2665332,0.0,2418.3278763000744,1000,open_proxy
2020-12-31,15:00,SELL,1000,13.69,13683.155,18.9568181,0.0,16082.526058200076,0,close_proxy
2021-01-04,09:25,BUY,1000,13.7,13706.849999999999,5.274137,0.0,2370.4019212000767,1000,open_proxy
2021-01-06,15:00,SELL,1000,13.87,13863.065,19.1403263,0.0,16214.326594900078,0,close_proxy
2021-01-07,09:25,BUY,1000,13.79,13796.894999999999,5.2759379,0.0,2412.1556570000794,1000,open_proxy
2021-01-13,15:00,SELL,1000,15.18,15172.410000000002,20.475858200000005,0.0,17564.08979880008,0,close_proxy
2021-01-14,09:25,BUY,1000,15.15,15157.574999999999,5.3031515,0.0,2401.2116473000806,1000,open_proxy
2021-01-19,15:00,SELL,1000,15.1,15092.45,20.394299000000004,0.0,17473.267348300084,0,close_proxy
2021-01-20,09:25,BUY,1000,15.35,15357.675,5.3071535,0.0,2110.2851948000844,1000,open_proxy
2021-01-26,15:00,SELL,1000,14.82,14812.59,20.1088418,0.0,16902.766353000086,0,close_proxy
2021-01-27,09:25,BUY,1000,14.95,14957.474999999999,5.2991495,0.0,1939.9922035000873,1000,open_proxy
2021-02-05,15:00,SELL,1000,13.21,13203.395,18.4674629,0.0,15124.919740600088,0,close_proxy
2021-02-08,09:25,BUY,1000,13.15,13156.574999999999,5.2631315,0.0,1963.0816091000888,1000,open_proxy
2021-02-10,15:00,SELL,1000,14.04,14032.980000000001,19.313639600000002,0.0,15976.74796950009,0,close_proxy
2021-02-18,09:25,BUY,1000,14.12,14127.06,5.2825412,0.0,1844.4054283000896,1000,open_proxy
2021-02-22,15:00,SELL,1000,13.97,13963.015000000001,19.242275300000003,0.0,15788.178153000092,0,close_proxy
2021-02-23,09:25,BUY,1000,13.85,13856.925,5.2771385,0.0,1925.9760145000928,1000,open_proxy
2021-02-25,15:00,SELL,1000,13.92,13913.04,19.1913008,0.0,15819.824713700094,0,close_proxy
2021-02-26,09:25,BUY,1000,13.77,13776.884999999998,5.2755377,0.0,2037.6641760000966,1000,open_proxy
2021-03-04,15:00,SELL,1000,13.63,13623.185000000001,18.895648700000002,0.0,15641.953527300098,0,close_proxy
2021-03-05,09:25,BUY,1000,13.5,13506.75,5.270135,0.0,2129.9333923000977,1000,open_proxy
2021-03-08,15:00,SELL,1000,13.7,13693.150000000001,18.967013,0.0,15804.1163793001,0,close_proxy
2021-03-09,09:25,BUY,1000,13.68,13686.84,5.2737368,0.0,2112.0026425000997,1000,open_proxy
2021-03-17,15:00,SELL,1000,13.55,13543.225,18.8140895,0.0,15636.4135530001,0,close_proxy
2021-03-18,09:25,BUY,1000,13.57,13576.785,5.2715357,0.0,2054.357017300101,1000,open_proxy
2021-03-31,15:00,SELL,1000,14.37,14362.815,19.6500713,0.0,16397.521946000103,0,close_proxy
2021-04-01,09:25,BUY,1000,14.41,14417.205,5.2883441,0.0,1975.0286019001032,1000,open_proxy
2021-04-08,15:00,SELL,1000,14.36,14352.820000000002,19.639876400000002,0.0,16308.208725500104,0,close_proxy
2021-04-09,09:25,BUY,1000,14.29,14297.144999999999,5.2859429,0.0,2005.7777826001056,1000,open_proxy
2021-04-20,15:00,SELL,1000,14.38,14372.810000000001,19.660266200000002,0.0,16358.927516400106,0,close_proxy
2021-04-21,09:25,BUY,1000,14.33,14337.164999999999,5.2867433,0.0,2016.4757731001082,1000,open_proxy
2021-04-22,15:00,SELL,1000,14.18,14172.910000000002,19.456368200000004,0.0,16169.92940490011,0,close_proxy
2021-04-23,09:25,BUY,1000,14.15,14157.074999999999,5.2831415,0.0,2007.5712634001102,1000,open_proxy
2021-04-28,15:00,SELL,1000,14.55,14542.725,19.8335795,0.0,16530.46268390011,0,close_proxy
2021-04-29,09:25,BUY,1000,14.65,14657.324999999999,5.2931465,0.0,1867.8445374001112,1000,open_proxy
2021-05-07,15:00,SELL,1000,13.45,13443.275000000001,18.712140500000004,0.0,15292.407396900113,0,close_proxy
2021-05-10,09:25,BUY,1000,13.5,13506.75,5.270135,0.0,1780.3872619001122,1000,open_proxy
2021-05-13,15:00,SELL,1000,13.38,13373.310000000001,18.640776200000005,0.0,15135.056485700114,0,close_proxy
2021-05-14,09:25,BUY,1000,13.4,13406.699999999999,5.268134,0.0,1723.0883517001148,1000,open_proxy
2021-05-19,15:00,SELL,1000,13.21,13203.395,18.4674629,0.0,14908.015888800115,0,close_proxy
2021-05-20,09:25,BUY,1000,13.2,13206.599999999999,5.264132,0.0,1696.1517568001163,1000,open_proxy
2021-05-26,15:00,SELL,1000,12.56,12553.720000000001,17.804794400000002,0.0,14232.066962400117,0,close_proxy
2021-05-27,09:25,BUY,1000,12.53,12536.265,5.2507253,0.0,1690.5512371001169,1000,open_proxy
2021-06-01,15:00,SELL,1000,12.43,12423.785,17.672260700000002,0.0,14096.663976400117,0,close_proxy
2021-06-02,09:25,BUY,1000,12.42,12426.21,5.2485242,0.0,1665.205452200118,1000,open_proxy
2021-06-08,15:00,SELL,1000,12.51,12503.745,17.753819900000003,0.0,14151.19663230012,0,close_proxy
2021-06-09,09:25,BUY,1000,12.47,12476.234999999999,5.2495247,0.0,1669.7121076001204,1000,open_proxy
2021-06-18,15:00,SELL,1000,12.49,12483.755000000001,17.7334301,0.0,14135.733677500122,0,close_proxy
2021-06-21,09:25,BUY,1000,12.4,12406.199999999999,5.248124,0.0,1724.2855535001236,1000,open_proxy
2021-06-25,15:00,SELL,1000,12.61,12603.695000000002,17.8557689,0.0,14310.124784600124,0,close_proxy
2021-06-28,09:25,BUY,1000,12.66,12666.33,5.2533266,0.0,1638.5414580001252,1000,open_proxy
2021-07-06,15:00,SELL,1000,12.23,12223.885,17.4683627,0.0,13844.958095300126,0,close_proxy
2021-07-07,09:25,BUY,1000,12.19,12196.095,5.2439219,0.0,1643.6191734001259,1000,open_proxy
2021-07-16,15:00,SELL,1000,11.49,11484.255000000001,16.713940100000002,0.0,13111.160233300126,0,close_proxy
2021-07-19,09:25,BUY,1000,11.5,11505.75,5.230115,0.0,1600.1801183001262,1000,open_proxy
2021-07-20,15:00,SELL,1000,11.72,11714.140000000001,16.948422800000003,0.0,13297.371695500127,0,close_proxy
2021-07-21,09:25,BUY,1000,11.7,11705.849999999999,5.234117,0.0,1586.2875785001288,1000,open_proxy
2021-08-02,15:00,SELL,1000,11.81,11804.095000000001,17.040176900000002,50.0,13323.34240160013,0,close_proxy
2021-08-03,09:25,BUY,1000,11.85,11855.925,5.2371185,0.0,1462.1802831001314,1000,open_proxy
2021-08-11,15:00,SELL,1000,11.78,11774.11,17.0095922,0.0,13219.280690900132,0,close_proxy
2021-08-12,09:25,BUY,1000,11.76,11765.88,5.2353176,0.0,1448.165373300133,1000,open_proxy
2021-08-17,15:00,SELL,1000,12.02,12013.99,17.254269800000003,0.0,13444.901103500133,0,close_proxy
2021-08-18,09:25,BUY,1000,12.01,12016.005,5.2403201,0.0,1423.6557834001342,1000,open_proxy
2021-08-19,15:00,SELL,1000,11.85,11844.075,17.0809565,0.0,13250.649826900135,0,close_proxy
2021-08-20,09:25,BUY,1000,11.88,11885.939999999999,5.2377188,0.0,1359.4721081001371,1000,open_proxy
2021-09-02,15:00,SELL,1000,11.75,11744.125,16.9790075,0.0,13086.618100600137,0,close_proxy
2021-09-03,09:25,BUY,1000,11.8,11805.9,5.236118,0.0,1275.4819826001367,1000,open_proxy
2021-09-08,15:00,SELL,1000,12.19,12183.905,17.4275831,0.0,13441.959399500138,0,close_proxy
2021-09-09,09:25,BUY,1000,12.24,12246.119999999999,5.2449224,0.0,1190.5944771001396,1000,open_proxy
2021-10-11,15:00,SELL,1000,12.13,12123.935000000001,17.366413700000003,0.0,13297.163063400141,0,close_proxy
2021-10-12,09:25,BUY,1000,12.17,12176.085,5.2435217,0.0,1115.834541700142,1000,open_proxy
2021-10-14,15:00,SELL,1000,11.86,11854.070000000002,17.0911514,0.0,12952.813390300144,0,close_proxy
2021-10-15,09:25,BUY,1000,11.86,11865.929999999998,5.2373186,0.0,1081.6460717001446,1000,open_proxy
2021-10-20,15:00,SELL,1000,11.59,11584.205,16.8158891,0.0,12649.035182600144,0,close_proxy
2021-10-21,09:25,BUY,1000,11.6,11605.8,5.232116,0.0,1038.0030666001458,1000,open_proxy
2021-10-25,15:00,SELL,1000,11.38,11374.310000000001,16.601796200000003,0.0,12395.711270400147,0,close_proxy
2021-10-26,09:25,BUY,1000,11.42,11425.71,5.2285142,0.0,964.7727562001473,1000,open_proxy
2021-11-01,15:00,SELL,1000,11.44,11434.28,16.6629656,0.0,12382.389790600148,0,close_proxy
2021-11-02,09:25,BUY,1000,11.5,11505.75,5.230115,0.0,871.4096756001472,1000,open_proxy
2021-11-05,15:00,SELL,1000,11.69,11684.155,16.9178381,0.0,12538.646837500148,0,close_proxy
2021-11-08,09:25,BUY,1000,11.68,11685.84,5.2337168,0.0,847.5731207001481,1000,open_proxy
2021-11-12,15:00,SELL,1000,11.72,11714.140000000001,16.948422800000003,0.0,12544.76469790015,0,close_proxy
2021-11-15,09:25,BUY,1000,11.72,11725.859999999999,5.2345172,0.0,813.67018070015,1000,open_proxy
2021-11-16,15:00,SELL,1000,11.81,11804.095000000001,17.040176900000002,0.0,12600.725003800151,0,close_proxy
2021-11-17,09:25,BUY,1000,11.79,11795.894999999999,5.2359179,0.0,799.594085900153,1000,open_proxy
2021-11-22,15:00,SELL,1000,11.86,11854.070000000002,17.0911514,0.0,12636.572934500155,0,close_proxy
2021-11-23,09:25,BUY,1000,11.86,11865.929999999998,5.2373186,0.0,765.4056159001557,1000,open_proxy
2021-12-01,15:00,SELL,1000,11.26,11254.37,16.4794574,0.0,12003.296158500156,0,close_proxy
2021-12-02,09:25,BUY,1000,11.21,11215.605,5.2243121,0.0,782.466846400157,1000,open_proxy
2021-12-06,15:00,SELL,1000,11.28,11274.36,16.4998472,0.0,12040.326999200157,0,close_proxy
2021-12-07,09:25,BUY,1000,11.32,11325.66,5.2265132,0.0,709.4404860001578,1000,open_proxy
2021-12-09,15:00,SELL,1000,11.77,11764.115,16.9993973,0.0,12456.556088700157,0,close_proxy
2021-12-10,09:25,BUY,1000,11.75,11755.875,5.2351175,0.0,695.4459712001571,1000,open_proxy
2021-12-24,15:00,SELL,1000,11.98,11974.01,17.213490200000003,0.0,12652.242481000158,0,close_proxy
2021-12-27,09:25,BUY,1000,11.98,11985.99,5.2397198,0.0,661.0127612001579,1000,open_proxy
2022-01-04,15:00,SELL,1000,12.04,12033.980000000001,17.2746596,0.0,12677.71810160016,0,close_proxy
2022-01-05,09:25,BUY,1000,12.03,12036.015,5.2407202999999996,0.0,636.4623813001599,1000,open_proxy
2022-02-09,15:00,SELL,1000,11.35,11344.325,16.571211500000004,0.0,11964.21616980016,0,close_proxy
2022-02-10,09:25,BUY,1000,11.37,11375.685,5.2275137,0.0,583.3036561001609,1000,open_proxy
2022-02-11,15:00,SELL,1000,11.33,11324.335000000001,16.5508217,0.0,11891.087834400161,0,close_proxy
2022-02-14,09:25,BUY,1000,11.27,11275.635,5.2255127,0.0,610.2273217001602,1000,open_proxy
2022-02-21,15:00,SELL,1000,11.4,11394.300000000001,16.622186000000003,0.0,11987.90513570016,0,close_proxy
2022-02-22,09:25,BUY,1000,11.34,11345.67,5.2269134,0.0,637.0082223001609,1000,open_proxy
2022-02-24,15:00,SELL,1000,11.2,11194.400000000001,16.418288000000004,0.0,11814.989934300162,0,close_proxy
2022-02-25,09:25,BUY,1000,11.2,11205.599999999999,5.224112,0.0,604.1658223001632,1000,open_proxy
2022-03-01,15:00,SELL,1000,11.17,11164.415,16.387703300000002,0.0,11752.193119000163,0,close_proxy
2022-03-02,09:25,BUY,1000,11.15,11155.574999999999,5.2231115,0.0,591.3950075001649,1000,open_proxy
2022-03-03,15:00,SELL,1000,11.2,11194.400000000001,16.418288000000004,0.0,11769.376719500166,0,close_proxy
2022-03-04,09:25,BUY,1000,11.13,11135.564999999999,5.2227113,0.0,628.5890082001661,1000,open_proxy
2022-03-14,15:00,SELL,1000,10.18,10174.91,15.3784082,0.0,10788.120600000166,0,close_proxy
2022-03-15,09:25,BUY,1000,10.19,10195.095,5.2039019,0.0,587.821698100166,1000,open_proxy
2022-03-17,15:00,SELL,1000,10.11,10104.945,15.3070439,0.0,10677.459654200165,0,close_proxy
2022-03-18,09:25,BUY,1000,10.1,10105.05,5.202101,0.0,567.2075532001654,1000,open_proxy
2022-03-23,15:00,SELL,1000,10.39,10384.805,15.592501100000002,0.0,10936.420052100166,0,close_proxy
2022-03-24,09:25,BUY,1000,10.42,10425.21,5.2085042,0.0,506.00154790016677,1000,open_proxy
2022-03-29,15:00,SELL,1000,10.08,10074.960000000001,15.276459200000001,0.0,10565.685088700167,0,close_proxy
2022-03-30,09:25,BUY,1000,10.12,10125.06,5.2025012,0.0,435.42258750016845,1000,open_proxy
2022-03-31,15:00,SELL,1000,10.15,10144.925000000001,15.347823500000002,0.0,10564.99976400017,0,close_proxy
2022-04-01,09:25,BUY,1000,10.07,10075.035,5.2015007,0.0,484.76326330016855,1000,open_proxy
2022-04-06,15:00,SELL,1000,10.2,10194.900000000001,15.398798000000003,0.0,10664.26446530017,0,close_proxy
2022-04-07,09:25,BUY,1000,10.17,10175.085,5.2035017,0.0,483.97596360017087,1000,open_proxy
2022-04-11,15:00,SELL,1000,9.93,9925.035,15.1235357,0.0,10393.88742790017,0,close_proxy
2022-04-12,09:25,BUY,1000,9.93,9934.965,5.1986993,0.0,453.72372860017094,1000,open_proxy
2022-04-28,15:00,SELL,1000,9.42,9415.29,14.6035958,0.0,9854.410132800173,0,close_proxy
2022-04-29,09:25,BUY,1000,9.46,9464.73,5.0946473,0.0,384.5854855001726,1000,open_proxy
2022-05-18,15:00,SELL,1000,9.42,9415.29,14.509442900000002,0.0,9785.366042600173,0,close_proxy
2022-05-19,09:25,BUY,1000,9.33,9334.664999999999,5.09334665,0.0,445.6076959501752,1000,open_proxy
2022-05-26,15:00,SELL,1000,9.22,9215.390000000001,14.307543900000002,0.0,9646.690152050176,0,close_proxy
2022-05-27,09:25,BUY,1000,9.23,9234.615,5.09234615,0.0,406.98280590017566,1000,open_proxy
2022-06-01,15:00,SELL,1000,9.37,9365.315,14.45896815,0.0,9757.838837750176,0,close_proxy
2022-06-02,09:25,BUY,1000,9.31,9314.654999999999,5.09314655,0.0,438.0906912001774,1000,open_proxy
2022-06-06,15:00,SELL,1000,9.43,9425.285,14.51953785,0.0,9848.856153350178,0,close_proxy
2022-06-07,09:25,BUY,1000,9.44,9444.72,5.0944472,0.0,399.0417061501794,1000,open_proxy
2022-06-15,15:00,SELL,1000,9.64,9635.18,14.7315318,0.0,10019.49017435018,0,close_proxy
2022-06-16,09:25,BUY,1000,9.68,9684.84,5.0968484,0.0,329.553325950179,1000,open_proxy
2022-06-20,15:00,SELL,1000,9.69,9685.155,14.782006550000002,0.0,9999.92631940018,0,close_proxy
2022-06-21,09:25,BUY,1000,9.69,9694.845,5.09694845,0.0,299.98437095018016,1000,open_proxy
2022-06-24,15:00,SELL,1000,9.75,9745.125,14.84257625,0.0,10030.266794700181,0,close_proxy
2022-06-27,09:25,BUY,1000,9.75,9754.875,5.09754875,0.0,270.294245950181,1000,open_proxy
2022-06-29,15:00,SELL,1000,9.84,9835.08,14.9334308,0.0,10090.440815150181,0,close_proxy
2022-06-30,09:25,BUY,1000,9.83,9834.914999999999,5.09834915,0.0,250.4274660001829,1000,open_proxy
2022-07-19,15:00,SELL,1000,9.8,9795.1,14.893051000000002,0.0,10030.634415000184,0,close_proxy
2022-07-20,09:25,BUY,1000,9.87,9874.935,5.09874935,0.0,150.60066565018496,1000,open_proxy
2022-07-27,15:00,SELL,1000,9.94,9935.03,15.0343803,0.0,10070.596285350186,0,close_proxy
2022-07-28,09:25,BUY,1000,9.99,9994.994999999999,5.09994995,0.0,70.5013354001876,1000,open_proxy
2022-08-02,15:00,SELL,1000,9.91,9905.045,15.004095450000001,0.0,9960.542239950188,0,close_proxy
2022-08-03,09:25,BUY,1000,9.91,9914.955,5.09914955,0.0,40.4880904001875,1000,open_proxy
2022-08-08,15:00,SELL,1000,9.62,9615.19,14.7113419,100.0,9540.966748500188,0,close_proxy
2022-08-09,09:25,BUY,900,9.6,8644.32,5.0864432,0.0,891.5603053001887,900,open_proxy
2022-09-19,14:00,BUY,100,8.86,886.443,5.00886443,0.0,0.10844087018870141,1000,complete_bar_proxy
2022-09-28,15:00,SELL,1000,8.56,8555.720000000001,13.641277200000001,0.0,8542.187163670189,0,close_proxy
2022-09-29,09:25,BUY,900,8.67,7806.9015,5.078069015,0.0,730.2075946551886,900,open_proxy
