date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18330.0,18330.0,18380.0,18330.0,18330.0,18380.0,0.0,0.0
2020-01-03,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18490.0,18490.0,18220.0,18490.0,18490.0,18220.0,0.0,0.0
2020-01-06,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18010.0,18010.0,17900.0,18010.0,18010.0,17900.0,0.0,0.0
2020-01-07,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,17920.0,17920.0,17860.0,17920.0,17920.0,17860.0,0.0,0.0
2020-01-08,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,17620.0,17620.0,17520.0,17620.0,17620.0,17520.0,0.0,0.0
2020-01-09,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,17650.0,17650.0,18300.0,17650.0,17650.0,18300.0,0.0,0.0
2020-01-10,0.0,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18410.0,18410.0,18030.0,18410.0,18410.0,18030.0,0.0,0.0
2020-01-13,18576.7222911,0.0,0,0,0.0,23.9727089,0.0,0.0,0,1000,0,18020.0,18020.0,18576.7222911,18020.0,18020.0,18610.0,-33.277708900001016,47.955095000001165
2020-01-14,1777.99392325,0.0,900,900,0.0,5.33586785,0.0,0.0,900,0,100,18576.7222911,18562.99392325,18328.99392325,18650.0,18650.0,18390.0,-61.00607674999992,66.96237513999995
2020-01-15,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18292.99392325,18292.99392325,18607.99392325,18350.0,18350.0,18700.0,-92.00607674999992,97.97849544999985
2020-01-16,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18562.99392325,18562.99392325,18346.99392325,18650.0,18650.0,18410.0,-63.00607674999992,68.96341515999984
2020-01-17,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18346.99392325,18346.99392325,18868.99392325,18410.0,18410.0,18990.0,-121.00607674999992,126.99357573999964
2020-01-20,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18769.99392325,18769.99392325,19183.99392325,18880.0,18880.0,19340.0,-156.00607674999992,162.01177608999978
2020-01-21,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,19057.99392325,19057.99392325,18958.99392325,19200.0,19200.0,19090.0,-131.00607674999992,136.99877583999978
2020-01-22,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18787.99392325,18787.99392325,20542.99392325,18900.0,18900.0,20850.0,-307.0060767499999,313.09029759999976
2020-01-23,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,20227.99392325,20227.99392325,19777.99392325,20500.0,20500.0,20000.0,-222.00607674999992,228.04609674999983
2020-02-03,1777.99392325,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,17977.99392325,17977.99392325,17977.99392325,18000.0,18000.0,18000.0,-22.00607674999992,27.942094749999796
2020-02-04,62.104706149999856,0.0,1000,1000,0.0,5.0342171,0.0,0.0,100,0,0,17167.993923250004,17162.10470615,18082.10470615,17100.0,17100.0,18020.0,62.1047061499994,0.0
2020-02-05,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18222.10470615,18222.10470615,18752.10470615,18160.0,18160.0,18690.0,62.1047061499994,0.0
2020-02-06,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18602.10470615,18602.10470615,18982.10470615,18540.0,18540.0,18920.0,62.1047061499994,0.0
2020-02-07,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19962.10470615,19962.10470615,19362.10470615,19900.0,19900.0,19300.0,62.1047061499994,0.0
2020-02-10,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18962.10470615,18962.10470615,18972.10470615,18900.0,18900.0,18910.0,62.1047061499994,0.0
2020-02-11,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,18872.10470615,18872.10470615,19292.10470615,18810.0,18810.0,19230.0,62.1047061499994,0.0
2020-02-12,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19142.10470615,19142.10470615,19212.10470615,19080.0,19080.0,19150.0,62.1047061499994,0.0
2020-02-13,62.104706149999856,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19172.10470615,19172.10470615,18482.10470615,19110.0,19110.0,18420.0,62.1047061499994,0.0
2020-02-14,18379.22206465,0.0,0,0,0.0,23.7076415,0.0,0.0,0,1000,0,18322.10470615,18322.10470615,18379.22206465,18260.0,18260.0,18350.0,29.222064649999083,0.0
2020-02-17,1769.5919786900013,0.0,900,900,0.0,5.33208596,0.0,0.0,900,0,100,18379.22206465,18365.59197869,19040.59197869,18440.0,18440.0,19190.0,-149.40802130999873,155.40592049999896
2020-02-18,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,19049.59197869,19049.59197869,18734.59197869,19200.0,19200.0,18850.0,-115.40802130999873,121.38824015999876
2020-02-19,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18554.59197869,18554.59197869,18410.59197869,18650.0,18650.0,18490.0,-79.40802130999873,85.36951979999844
2020-02-20,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18500.59197869,18500.59197869,18698.59197869,18590.0,18590.0,18810.0,-111.40802130999873,117.38616011999852
2020-02-21,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18572.59197869,18572.59197869,19409.59197869,18670.0,18670.0,19600.0,-190.40802130999873,196.42724090999877
2020-02-24,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,19544.59197869,19544.59197869,19895.59197869,19750.0,19750.0,20140.0,-244.40802130999873,250.45532144999856
2020-02-25,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,19454.59197869,19454.59197869,19733.59197869,19650.0,19650.0,19960.0,-226.40802130999873,232.44596126999863
2020-02-26,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,19364.59197869,19364.59197869,18608.59197869,19550.0,19550.0,18710.0,-101.40802130999873,107.38096001999861
2020-02-27,1769.5919786900013,0.0,900,900,0.0,0.0,0.0,0.0,0,0,100,18545.59197869,18545.59197869,18779.59197869,18640.0,18640.0,18900.0,-120.40802130999873,126.39084020999849
2020-02-28,10.680401160001338,0.0,1000,1000,0.0,5.03507753,0.0,0.0,100,0,0,18041.591978689998,17540.68040116,17090.68040116,18080.0,17530.0,17080.0,10.680401159999747,0.0
2020-03-02,17419.180495560002,0.0,0,0,0.0,22.779905600000003,0.0,0.0,0,1000,0,17310.68040116,17310.68040116,17419.180495560002,17300.0,17300.0,17440.0,-20.819504439998127,34.888478839995514
2020-03-03,1358.8358950900038,0.0,900,900,0.0,5.32110047,0.0,0.0,900,0,100,17419.180495560002,17405.83589509,17054.835895090007,17830.0,17830.0,17440.0,-385.1641049099926,391.0710023499962
