date,clock,side,quantity,reference,value,fee,dividend_tax,cash_after,shares_after,kind
2020-01-02,15:00,SELL,1000,18.38,18370.81,23.738226200000003,0.0,20185.071773800002,0,close_proxy
2020-01-03,09:25,BUY,1000,18.49,18499.245,5.3699849,0.0,1680.4567889000027,1000,open_proxy
2020-01-06,15:00,SELL,1000,17.9,17891.05,23.248871,0.0,19548.257917900002,0,close_proxy
2020-01-07,09:25,BUY,1000,17.92,17928.96,5.3585792,0.0,1613.9393387000018,1000,open_proxy
2020-01-08,15:00,SELL,1000,17.52,17511.24,22.861464800000004,0.0,19102.317873900003,0,close_proxy
2020-01-09,09:25,BUY,1000,17.65,17658.825,5.3531765,0.0,1438.1396974000018,1000,open_proxy
2020-01-10,15:00,SELL,1000,18.03,18020.985,23.3814047,0.0,19435.7432927,0,close_proxy
2020-01-13,09:25,BUY,1000,18.02,18029.01,5.3605802,0.0,1401.3727125000041,1000,open_proxy
2020-01-14,15:00,SELL,1000,18.39,18380.805,23.7484211,0.0,19758.429291400003,0,close_proxy
2020-01-15,09:25,BUY,1000,18.35,18359.175,5.3671835,0.0,1393.8871079000055,1000,open_proxy
2020-01-16,15:00,SELL,1000,18.41,18400.795000000002,23.768810900000002,0.0,19770.913297000006,0,close_proxy
2020-01-17,09:25,BUY,1000,18.41,18419.204999999998,5.3683841,0.0,1346.33991290001,1000,open_proxy
2020-01-20,15:00,SELL,1000,19.34,19330.33,24.716936600000004,0.0,20651.95297630001,0,close_proxy
2020-01-21,09:25,BUY,1000,19.2,19209.6,5.384192,0.0,1436.9687843000102,1000,open_proxy
2020-01-22,15:00,SELL,1000,20.85,20839.575,26.256366500000002,0.0,22250.28741780001,0,close_proxy
2020-01-23,09:25,BUY,1000,20.5,20510.25,5.410205,0.0,1734.6272128000091,1000,open_proxy
2020-02-04,15:00,SELL,1000,18.02,18010.99,23.371209800000003,0.0,19722.24600300001,0,close_proxy
2020-02-05,09:25,BUY,1000,18.16,18169.079999999998,5.3633816,0.0,1547.8026214000129,1000,open_proxy
2020-02-06,15:00,SELL,1000,18.92,18910.54,24.288750800000003,0.0,20434.053870600015,0,close_proxy
2020-02-07,09:25,BUY,1000,19.9,19909.949999999997,5.398199,0.0,518.7056716000188,1000,open_proxy
2020-02-10,15:00,SELL,1000,18.91,18900.545000000002,24.278555900000004,0.0,19394.97211570002,0,close_proxy
2020-02-11,09:25,BUY,1000,18.81,18819.405,5.3763881,0.0,570.1907276000202,1000,open_proxy
2020-02-12,15:00,SELL,1000,19.15,19140.425,24.5232335,0.0,19686.09249410002,0,close_proxy
2020-02-13,09:25,BUY,1000,19.11,19119.555,5.3823911,0.0,561.1551030000192,1000,open_proxy
2020-02-14,15:00,SELL,1000,18.35,18340.825,23.7076415,0.0,18878.27246150002,0,close_proxy
2020-02-17,09:25,BUY,1000,18.44,18449.219999999998,5.3689844,0.0,423.68347710002126,1000,open_proxy
2020-02-18,15:00,SELL,1000,18.85,18840.575,24.217386500000003,0.0,19240.04109060002,0,close_proxy
2020-02-19,09:25,BUY,1000,18.65,18659.325,5.3731865,0.0,575.34290410002,1000,open_proxy
2020-02-20,15:00,SELL,1000,18.81,18800.595,24.176606900000003,0.0,19351.76129720002,0,close_proxy
2020-02-21,09:25,BUY,1000,18.67,18679.335,5.3735867,0.0,667.0527105000219,1000,open_proxy
2020-02-24,15:00,SELL,1000,20.14,20129.93,25.532528600000003,0.0,20771.45018190002,0,close_proxy
2020-02-25,09:25,BUY,1000,19.65,19659.825,5.3931965,0.0,1106.2319854000198,1000,open_proxy
