id,window,kind,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S0,2018,valid_S0,139,1.0,7.0,-0.09457657908544981,-0.1368561648793434,43.16546762589928,-1627.3965355997698,-11.707888745322085,0.8109149011261675,0.8520386588900825,-10.250413190279678,-2235.615116799998,-4.9435415028866805,-894.428819214284,9.0,3520.1165356,2235.6151167999997,79.0
S0,2019,hit,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S0,2019,nonhit,0,,,,,,,,,,,,,,,,,
S0,2019,valid_S0,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S0,2020,hit,243,1.0,12.0,-0.1629628922179418,-0.27457146892655265,36.21399176954733,-4383.1186884996105,-18.037525467076588,0.6627559900819614,0.7472081750395946,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6204.6336885,1029.096949799994,155.0
S0,2020,nonhit,0,,,,,,,,,,,,,,,,,
S0,2020,valid_S0,243,1.0,12.0,-0.1629628922179418,-0.27457146892655265,36.21399176954733,-4383.1186884996105,-18.037525467076588,0.6627559900819614,0.7472081750395946,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6204.6336885,1029.096949799994,155.0
S0,2021,hit,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S0,2021,nonhit,0,,,,,,,,,,,,,,,,,
S0,2021,valid_S0,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S0,2022,hit,242,1.0,12.0,-0.25963960525771224,-0.29252423721419457,28.09917355371901,-6089.946493449734,-25.165068154750966,0.30298898154719156,0.29655738275802407,-2.854933342492619,-290.91770759999787,-1.6590196165860758,-154.49891556538356,13.0,4836.446493450001,290.9177075999978,173.0
S0,2022,nonhit,0,,,,,,,,,,,,,,,,,
S0,2022,valid_S0,242,1.0,12.0,-0.25963960525771224,-0.29252423721419457,28.09917355371901,-6089.946493449734,-25.165068154750966,0.30298898154719156,0.29655738275802407,-2.854933342492619,-290.91770759999787,-1.6590196165860758,-154.49891556538356,13.0,4836.446493450001,290.9177075999978,173.0
S0,2023,hit,242,1.0,12.0,-0.16494307779223255,-0.20191658032244786,43.80165289256198,-3760.0672188995827,-15.53746784669249,0.7492527885524312,0.8592438660960808,-8.235700377192982,-1220.5307959,-4.447044312214673,-814.3147926730755,11.0,5866.287218900001,1220.5307959000002,135.0
S0,2023,nonhit,0,,,,,,,,,,,,,,,,,
S0,2023,valid_S0,242,1.0,12.0,-0.16494307779223255,-0.20191658032244786,43.80165289256198,-3760.0672188995827,-15.53746784669249,0.7492527885524312,0.8592438660960808,-8.235700377192982,-1220.5307959,-4.447044312214673,-814.3147926730755,11.0,5866.287218900001,1220.5307959000002,135.0
S0,2024,hit,242,1.0,12.0,-0.07470496271682106,0.06630722913178684,51.652892561983464,-2895.9634036993957,-11.96679092437767,0.9003488150646449,0.927633230553906,-10.200745196903522,-2569.5677150999973,-5.049047728386215,-1097.6879616115352,8.0,5210.673403700001,2569.567715099998,117.0
S0,2024,nonhit,0,,,,,,,,,,,,,,,,,
S0,2024,valid_S0,242,1.0,12.0,-0.07470496271682106,0.06630722913178684,51.652892561983464,-2895.9634036993957,-11.96679092437767,0.9003488150646449,0.927633230553906,-10.200745196903522,-2569.5677150999973,-5.049047728386215,-1097.6879616115352,8.0,5210.673403700001,2569.567715099998,117.0
S0,2025,hit,243,1.0,12.0,-0.0758367366180332,-0.15195645436363264,44.03292181069959,1994.1317503778878,8.20630349949748,0.8931995550111763,1.0298107549786004,-9.83232226178813,-4348.957669794001,-4.913467563524931,-2420.848859810148,9.0,7799.798249623001,4348.957669793992,136.0
S0,2025,nonhit,0,,,,,,,,,,,,,,,,,
S0,2025,valid_S0,243,1.0,12.0,-0.0758367366180332,-0.15195645436363264,44.03292181069959,1994.1317503778878,8.20630349949748,0.8931995550111763,1.0298107549786004,-9.83232226178813,-4348.957669794001,-4.913467563524931,-2420.848859810148,9.0,7799.798249623001,4348.957669793992,136.0
S0,2026,hit,168,1.0,9.0,-0.10059873168883883,-0.1541641874431136,47.023809523809526,-9587.547548547904,-57.06873540802324,0.8625406058091107,0.873878543790256,-6.391240648360583,-3886.711772625,-4.0206375360272,-2534.735658024994,6.0,8274.272548549001,3886.711772625,89.0
S0,2026,nonhit,0,,,,,,,,,,,,,,,,,
S0,2026,valid_S0,168,1.0,9.0,-0.10059873168883883,-0.1541641874431136,47.023809523809526,-9587.547548547904,-57.06873540802324,0.8625406058091107,0.873878543790256,-6.391240648360583,-3886.711772625,-4.0206375360272,-2534.735658024994,6.0,8274.272548549001,3886.711772625,89.0
S1_F1,full,hit,414,9.0,100.0,-0.1531781585343538,-0.20189591669421034,39.371980676328505,939.6891598530428,2.2697805793551757,0.7278872831336638,1.0169114257363976,-10.250413190279678,-4265.148596750993,-4.281387216580218,-1359.0732393676144,16.0,11453.225840148,4265.148596750994,251.0
S1_F1,full,nonhit,1586,9.0,100.0,-0.15486180871382818,-0.20391072423061157,38.587641866330394,-39670.65541817044,-25.01302359279347,0.7158818161783407,0.8157060289737917,-9.83232226178813,-4348.957669794001,-3.644977692988698,-1358.88059166297,18.0,41852.680418174,4348.957669793992,970.0
S1_F1,full,valid_S0,2000,9.0,100.0,-0.15451329312667694,-0.20390707594143517,38.75,-38730.96625831741,-19.365483129158704,0.7184310886770244,0.8569878040125868,-10.250413190279678,-4348.957669794001,-3.7946177460837367,-1366.717111120075,17.0,53305.90625832201,4348.957669793992,1221.0
S1_F1,main2020,hit,341,7.0,81.0,-0.1384753084010654,-0.20189097164350003,39.002932551319645,3535.490901752922,10.368008509539361,0.7482835526669829,1.0731578924535836,-10.200745196903522,-4265.148596750993,-4.01099676849547,-1390.6724977205504,16.0,9614.179098248002,4265.148596750994,208.0
S1_F1,main2020,nonhit,1279,7.0,81.0,-0.16644553326058112,-0.20391066490165152,38.78029710711493,-36319.3068574709,-28.39664336002416,0.7099496260984802,0.8157224855045533,-9.83232226178813,-4348.957669794001,-3.8551336216417402,-1510.745373756948,18.0,34151.366857474,4348.957669793992,780.0
S1_F1,main2020,valid_S0,1620,7.0,81.0,-0.16055797358336207,-0.20390578143060473,38.827160493827165,-32783.81595571799,-20.236923429455548,0.7177529730384327,0.8664159455163141,-10.200745196903522,-4348.957669794001,-3.9096214639741924,-1498.4761034532912,17.0,43765.545955722,4348.957669793992,988.0
S1_F1,early2020_2023,hit,200,4.0,48.0,-0.2260164308521388,-0.2123123404806337,31.0,-4357.276122399714,-21.78638061199857,0.5066322085033957,0.6570980619602691,-5.687383954076843,-1213.6877357999983,-2.8794339405795055,-475.2806939949989,16.0,4714.7611224,1213.6877357999983,138.0
S1_F1,early2020_2023,nonhit,768,4.0,48.0,-0.203303475373263,-0.2754051943509733,33.46354166666667,-17110.186967148868,-22.278889280141755,0.5576947801132742,0.6562895041491897,-8.235700377192982,-1220.5307959,-2.8229236824762967,-484.9977305397417,18.0,17784.05696715,1220.5307959000002,508.0
S1_F1,early2020_2023,valid_S0,968,4.0,48.0,-0.20799623476972492,-0.27349671309562124,32.95454545454545,-21467.463089548575,-22.177131290855968,0.5471726488042622,0.6564539263602385,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22498.81808955,1220.5307959000002,646.0
S1_F1,recent2024,hit,141,3.0,33.0,-0.014303503505925935,0.012972253846172222,50.35460992907801,7892.767024152636,55.977071093281104,0.9789852645434796,1.2215837374001395,-10.200745196903522,-4265.148596750993,-5.18556997868058,-2034.8714939676202,7.0,4899.417975848,4265.148596750994,70.0
S1_F1,recent2024,nonhit,511,3.0,33.0,-0.11105042652371284,-0.15194595643506068,46.771037181996086,-19209.119890322043,-37.59123266207836,0.8510377026534852,0.8696002370313556,-9.83232226178813,-4348.957669794001,-4.70736690771783,-2169.9453600151105,6.0,16367.309890324002,4348.957669793992,272.0
S1_F1,recent2024,valid_S0,652,3.0,33.0,-0.09012816249686016,-0.1123505545924573,47.54601226993865,-11316.352866169407,-17.356369426640196,0.8767846786498233,0.9381380940775218,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21266.727866172,4348.957669793992,342.0
S1_F1,2018,hit,28,1.0,7.0,-0.47160510901316854,-0.17058290047842598,39.285714285714285,-2484.7251486999544,-88.74018388214122,0.30357977011164594,0.2607762897218382,-10.250413190279678,-2235.615116799998,-5.864162925360546,-1222.5667517499978,5.0,705.1101487,2235.6151167999997,17.0
S1_F1,2018,nonhit,108,1.0,7.0,0.07796544860038504,-0.12327087809130904,44.44444444444444,2359.847056400172,21.850435707408998,1.2231229253172557,1.473214816462937,-4.629448742411092,-533.7754399999989,-2.445113476475056,-299.7492267999991,7.0,2712.6929436000005,533.7754399999994,60.0
S1_F1,2018,valid_S0,136,1.0,7.0,-0.03518143090828776,-0.13619118838634692,43.38235294117647,-124.87809229978325,-0.9182212669101709,0.9156133408485483,0.9850411428467817,-10.250413190279678,-2235.615116799998,-3.560156292732859,-579.0756318285703,9.0,3417.8030923,2235.6151167999997,77.0
S1_F1,2019,hit,45,1.0,12.0,-0.06646076480200984,-0.27874431563200436,42.22222222222222,-111.07659319992501,-2.468368737776111,0.887125357498066,0.9713515147617945,-3.1998998899721305,-536.7822498999989,-3.0467629765403195,-482.5956693999983,4.0,1133.9365931999998,536.7822498999994,26.0
S1_F1,2019,nonhit,199,1.0,12.0,-0.20677015089793893,-0.2602880281690141,34.17085427135678,-5711.195617099698,-28.699475462812554,0.5564793354650618,0.5666888655470173,-3.9767216105873695,-548.3899100999982,-2.730283241548896,-382.2432779299984,14.0,4988.620617100001,548.389910099997,130.0
S1_F1,2019,valid_S0,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S1_F1,2020,hit,59,1.0,12.0,-0.11060314362537367,-0.20392115862450264,35.59322033898305,-223.80375109991576,-3.7932839169477246,0.7732439515091583,0.9472436624972653,-3.0707322628939746,-428.6742238999988,-2.476358587190896,-359.9906915333322,16.0,1520.1487511,428.67422389999774,38.0
S1_F1,2020,nonhit,183,1.0,12.0,-0.17506904315115335,-0.27636129616218447,36.6120218579235,-3972.4903459996995,-21.70759751912404,0.634305234082939,0.6922889342003208,-5.4392016374207,-1029.0969497999963,-2.654147220834369,-403.40599562999785,10.0,4655.750346000001,1029.096949799994,116.0
S1_F1,2020,valid_S0,242,1.0,12.0,-0.15935215029156238,-0.27434845376152195,36.36363636363637,-4196.294097099613,-17.34005825247774,0.6686598185071997,0.7553469741548801,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6175.8990971,1029.096949799994,154.0
S1_F1,2021,hit,54,1.0,12.0,-0.25241163299864516,-0.20390940002422858,25.925925925925924,-1729.3636527999117,-32.025252829627995,0.2329833874260097,0.2474328141018471,-1.9266652483443614,-290.92645249999856,-1.3453539680275386,-200.31538993333183,14.0,1258.3836527999995,290.92645249999805,40.0
S1_F1,2021,nonhit,189,1.0,12.0,-0.24898844297701517,-0.28632232289950094,22.75132275132275,-5782.733987599735,-30.59647612486632,0.2385199188764343,0.2546244235878238,-2.8571236783575564,-333.9977579999983,-1.3857720972938692,-177.47464890999842,18.0,4378.953987600001,333.9977579999977,145.0
S1_F1,2021,valid_S0,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S1_F1,2022,hit,52,1.0,12.0,-0.26437997706317595,-0.24829397721620886,23.076923076923077,-1300.1401954499456,-25.00269606634511,0.23179637894545904,0.2394505344449046,-1.6044745391354902,-137.34302054999796,-1.2212517276618422,-108.55961539999852,8.0,1041.7551954500002,137.34302054999898,40.0
S1_F1,2022,nonhit,190,1.0,12.0,-0.25834224034253267,-0.29260310934275424,29.47368421052631,-4789.8062979997885,-25.209506831577833,0.320623037624735,0.3106081204117072,-2.854933342492619,-290.91770759999787,-1.7398622389007685,-164.72901409499883,17.0,3794.6912979999997,290.9177075999978,133.0
S1_F1,2022,valid_S0,242,1.0,12.0,-0.25963960525771224,-0.29252423721419457,28.09917355371901,-6089.946493449734,-25.165068154750966,0.30298898154719156,0.29655738275802407,-2.854933342492619,-290.91770759999787,-1.6590196165860758,-154.49891556538356,13.0,4836.446493450001,290.9177075999978,173.0
S1_F1,2023,hit,35,1.0,12.0,-0.322848963066249,-0.259853879559912,42.857142857142854,-1103.968523049941,-31.541957801426886,0.5842247082968373,0.7523300971058139,-5.687383954076843,-1213.6877357999983,-4.668678760352603,-924.5740668749982,6.0,894.4735230500002,1213.6877357999983,20.0
S1_F1,2023,nonhit,206,1.0,12.0,-0.13570676117605748,-0.17798673503772589,44.1747572815534,-2565.1563355496423,-12.452215221114768,0.7871683576077442,0.8842698767587696,-8.235700377192982,-1220.5307959,-4.312277173219903,-790.1450305181806,10.0,4954.661335549999,1220.5307959000002,114.0
S1_F1,2023,valid_S0,241,1.0,12.0,-0.16288508925139655,-0.20190607192073856,43.983402489626556,-3669.1248585995836,-15.224584475516945,0.7523764909903271,0.8621790506174482,-8.235700377192982,-1220.5307959,-4.447044312214673,-814.3147926730755,11.0,5849.1348586,1220.5307959000002,134.0
S1_F1,2024,hit,42,1.0,12.0,-0.037154188342630366,0.1966843042831396,59.523809523809526,-415.25702524989725,-9.887072029759459,0.9543637789906743,0.9481829852185287,-10.200745196903522,-2569.5677150999973,-6.622344515619191,-1580.949015166664,5.0,914.5120252500001,2569.567715099998,17.0
S1_F1,2024,nonhit,200,1.0,12.0,-0.0825906253354011,-0.002792525167668098,50.0,-2480.706378449496,-12.403531892247479,0.8878035497336486,0.92248749263796,-6.5883444585987085,-1477.659232149996,-4.5770586922163226,-952.7096455449964,6.0,4296.1613784500005,1477.6592321499957,100.0
S1_F1,2024,valid_S0,242,1.0,12.0,-0.07470496271682106,0.06630722913178684,51.652892561983464,-2895.9634036993957,-11.96679092437767,0.9003488150646449,0.927633230553906,-10.200745196903522,-2569.5677150999973,-5.049047728386215,-1097.6879616115352,8.0,5210.673403700001,2569.567715099998,117.0
S1_F1,2025,hit,57,1.0,12.0,-0.07132297521248737,-0.15195358021838157,45.614035087719294,4344.586277777197,76.22081189082802,0.8981411846445408,1.300760379238782,-5.764493305515601,-4265.148596750993,-5.022822311914857,-2469.5108442556634,7.0,1870.358722223,4265.148596750994,31.0
S1_F1,2025,nonhit,185,1.0,12.0,-0.10658899707916447,-0.15195775262089514,43.24324324324324,-3177.4281916993123,-17.175287522698984,0.8513312969596887,0.9394171942916303,-9.83232226178813,-4348.957669794001,-4.8806611390079535,-2384.6724143224956,5.0,5911.4231917,4348.957669793992,105.0
S1_F1,2025,valid_S0,242,1.0,12.0,-0.09828253738329425,-0.15195710349226388,43.80165289256198,1167.1580860778877,4.822967297842511,0.8621588529319624,1.017448126844561,-9.83232226178813,-4348.957669794001,-4.913467563524931,-2420.848859810148,9.0,7781.781913923001,4348.957669793992,136.0
S1_F1,2026,hit,42,1.0,9.0,0.08593075007539752,-0.10521201174607159,47.61904761904761,3963.437771625335,94.3675659910794,1.16506654343876,1.3011607239114802,-3.1736022754722035,-1932.5882208599883,-2.6984520934896423,-1651.7514824579919,4.0,2114.547228375,1932.5882208599942,22.0
S1_F1,2026,nonhit,126,1.0,9.0,-0.1627752256102509,-0.1708110926618764,46.82539682539682,-13550.985320173237,-107.54750254105744,0.7971050405231218,0.7844184998168306,-6.391240648360583,-3886.711772625,-4.339883081342759,-2748.9800105125673,5.0,6159.725320174,3886.711772625,67.0
S1_F1,2026,valid_S0,168,1.0,9.0,-0.10059873168883883,-0.1541641874431136,47.023809523809526,-9587.547548547904,-57.06873540802324,0.8625406058091107,0.873878543790256,-6.391240648360583,-3886.711772625,-4.0206375360272,-2534.735658024994,6.0,8274.272548549001,3886.711772625,89.0
S1_F2,full,hit,473,9.0,99.0,-0.18575014659844855,-0.20391078355957165,37.84355179704017,-16008.431347922951,-33.844463737680655,0.6831410081530492,0.7619021241766362,-9.83232226178813,-3886.711772625,-3.895550983273902,-1377.7366385221205,13.0,12372.406347924001,3886.711772625,293.0
S1_F2,full,nonhit,1527,9.0,100.0,-0.14483743740162922,-0.2039064480736976,39.030779305828425,-22722.53491039445,-14.880507472425966,0.7303610668737471,0.8883896999044253,-10.250413190279678,-4348.957669794001,-3.743076698701355,-1354.0548081893064,23.0,40933.499910398,4348.957669793992,928.0
S1_F2,full,valid_S0,2000,9.0,100.0,-0.15451329312667694,-0.20390707594143517,38.75,-38730.96625831741,-19.365483129158704,0.7184310886770244,0.8569878040125868,-10.250413190279678,-4348.957669794001,-3.7946177460837367,-1366.717111120075,17.0,53305.90625832201,4348.957669793992,1221.0
S1_F2,main2020,hit,375,7.0,80.0,-0.19859589285825993,-0.20391066490165152,38.4,-14781.231213723104,-39.41661656992828,0.672305586483418,0.7558552209986754,-9.83232226178813,-3886.711772625,-4.0439609146622475,-1519.3984765355217,10.0,9950.796213724,3886.711772625,230.0
S1_F2,main2020,nonhit,1245,7.0,81.0,-0.14910076898248922,-0.20390551668091952,38.95582329317269,-18002.58474199489,-14.459907423289069,0.7326296332598398,0.9026225366843648,-10.200745196903522,-4348.957669794001,-3.843379067126194,-1474.1157740994233,23.0,33814.749741998006,4348.957669793992,758.0
S1_F2,main2020,valid_S0,1620,7.0,81.0,-0.16055797358336207,-0.20390578143060473,38.827160493827165,-32783.81595571799,-20.236923429455548,0.7177529730384327,0.8664159455163141,-10.200745196903522,-4348.957669794001,-3.9096214639741924,-1498.4761034532912,17.0,43765.545955722,4348.957669793992,988.0
S1_F2,early2020_2023,hit,214,4.0,47.0,-0.2447487401899926,-0.2889123191753412,30.8411214953271,-6603.051351499692,-30.855380147194822,0.5246514064507631,0.5805756632202675,-8.235700377192982,-1220.5307959,-3.4213615183677435,-606.9576707272711,10.0,4812.1463515,1220.5307959000002,147.0
S1_F2,early2020_2023,nonhit,754,4.0,48.0,-0.19756515232948982,-0.2590610924143836,33.55437665782494,-14864.411738048886,-19.714073923141758,0.554592416138195,0.682008912566011,-6.165217137601177,-1213.6877357999983,-2.667455793531159,-446.91123415526135,23.0,17686.67173805,1213.6877357999983,499.0
S1_F2,early2020_2023,valid_S0,968,4.0,48.0,-0.20799623476972492,-0.27349671309562124,32.95454545454545,-21467.463089548575,-22.177131290855968,0.5471726488042622,0.6564539263602385,-8.235700377192982,-1220.5307959,-2.837596113065708,-483.0146618571411,17.0,22498.81808955,1220.5307959000002,646.0
S1_F2,recent2024,hit,161,3.0,33.0,-0.13724987218129847,-0.10246857022749321,48.4472049689441,-8178.179862223412,-50.79614821256778,0.811263971614376,0.8174503812741604,-9.83232226178813,-3886.711772625,-4.432467377458753,-2020.2535325368833,6.0,5138.649862224001,3886.711772625,83.0
S1_F2,recent2024,nonhit,491,3.0,33.0,-0.0746768483233478,-0.14576118956246642,47.25050916496945,-3138.1730039460017,-6.391391046733201,0.898103101845544,0.9772809354493995,-10.200745196903522,-4348.957669794001,-4.893759145499293,-2183.0375834633946,8.0,16128.078003948001,4348.957669793992,259.0
S1_F2,recent2024,valid_S0,652,3.0,33.0,-0.09012816249686016,-0.1123505545924573,47.54601226993865,-11316.352866169407,-17.356369426640196,0.8767846786498233,0.9381380940775218,-10.200745196903522,-4348.957669794001,-4.869772641049577,-2167.380320235328,9.0,21266.727866172,4348.957669793992,342.0
S1_F2,2018,hit,48,1.0,7.0,0.011191482988306453,-0.0833558678706592,47.91666666666667,649.4769504000733,13.530769800001528,1.0295995584509456,1.2787966028776812,-4.629448742411092,-533.7754399999989,-2.7547758367720303,-335.9828713333329,7.0,1199.5430496,533.7754399999994,25.0
S1_F2,2018,nonhit,88,1.0,7.0,-0.06047574757915734,-0.17491223797766003,40.909090909090914,-774.3550426998568,-8.799489121589282,0.861951865090346,0.8713382007547491,-10.250413190279678,-2235.615116799998,-3.6269358398510683,-647.1360500599983,8.0,2218.2600427,2235.6151167999997,52.0
S1_F2,2018,valid_S0,136,1.0,7.0,-0.03518143090828776,-0.13619118838634692,43.38235294117647,-124.87809229978325,-0.9182212669101709,0.9156133408485483,0.9850411428467817,-10.250413190279678,-2235.615116799998,-3.560156292732859,-579.0756318285703,9.0,3417.8030923,2235.6151167999997,77.0
S1_F2,2019,hit,50,1.0,12.0,-0.2784710140531479,-0.3468234252802811,24.0,-1876.6770845999206,-37.53354169199841,0.5631151122058289,0.5697866739628644,-3.6081658008298603,-434.78397899999817,-3.2450204382678227,-405.8833053666652,13.0,1222.0670846,434.783978999998,38.0
S1_F2,2019,nonhit,194,1.0,12.0,-0.15574455537176746,-0.20391669472858526,38.659793814432994,-3945.595125699704,-20.33811920463765,0.6542976522806188,0.6892101633476453,-3.9767216105873695,-548.3899100999982,-2.777974203249181,-412.5106112199984,12.0,4900.490125700001,548.389910099997,118.0
S1_F2,2019,valid_S0,244,1.0,12.0,-0.1808934198556569,-0.26064154688541646,35.65573770491803,-5822.272210299625,-23.861771353686986,0.6299328672458673,0.6586695329242492,-3.9767216105873695,-548.3899100999982,-2.935894379687473,-421.5229784307677,14.0,6122.557210300001,548.389910099997,156.0
S1_F2,2020,hit,52,1.0,12.0,-0.2640140698867015,-0.4225001286613673,34.61538461538461,-1697.2053861999184,-32.6385651192292,0.5664097759901146,0.6265855270335919,-3.950006198907945,-506.3907946999985,-3.216518815447971,-452.9714574666635,8.0,1313.7753862000002,506.3907946999989,34.0
S1_F2,2020,nonhit,190,1.0,12.0,-0.13070783545499803,-0.23109473194667884,36.84210526315789,-2499.0887108996953,-13.15309847841945,0.7068731427377237,0.8017685595047028,-5.4392016374207,-1029.0969497999963,-2.470786188970103,-382.4816089099985,8.0,4862.123710899999,1029.096949799994,120.0
S1_F2,2020,valid_S0,242,1.0,12.0,-0.15935215029156238,-0.27434845376152195,36.36363636363637,-4196.294097099613,-17.34005825247774,0.6686598185071997,0.7553469741548801,-5.4392016374207,-1029.0969497999963,-2.6428783335419186,-398.7484970384597,10.0,6175.8990971,1029.096949799994,154.0
S1_F2,2021,hit,53,1.0,12.0,-0.22054525620443208,-0.2864582508250741,22.641509433962266,-1447.1604205999254,-27.304913596225006,0.24605442975895497,0.25725497943244324,-0.9618759326599179,-118.3906507999987,-0.854416049005231,-106.57029569999885,6.0,1221.8304205999996,118.39065079999818,41.0
S1_F2,2021,nonhit,190,1.0,12.0,-0.2578955017144621,-0.28495744520431465,23.684210526315788,-6064.937219799723,-31.920722209472224,0.23516089655983066,0.25195395939946247,-2.8571236783575564,-333.9977579999983,-1.5008132690976563,-198.90250160999838,23.0,4415.5072198,333.9977579999977,144.0
S1_F2,2021,valid_S0,243,1.0,12.0,-0.24974915187071065,-0.2857830605564446,23.456790123456788,-7512.097640399648,-30.913982059257812,0.23728343342367325,0.25298104530661314,-2.8571236783575564,-333.9977579999983,-1.3764448366939466,-182.7455891461523,17.0,5637.337640399999,333.9977579999977,185.0
S1_F2,2022,hit,52,1.0,11.0,-0.2864517650106316,-0.2924861552028225,26.923076923076923,-1405.403300099949,-27.026986540383636,0.2799288228219415,0.2849237909701473,-1.7431615528846014,-181.28880149999856,-1.586054131004789,-156.82006106666543,7.0,1034.7283000999998,181.28880149999895,37.0
S1_F2,2022,nonhit,190,1.0,12.0,-0.25230154048322906,-0.29252423721419457,28.421052631578945,-4684.543193349784,-24.65549049131465,0.30985662173345285,0.29997410221025145,-2.854933342492619,-290.91770759999787,-1.635251133503291,-152.41631543999864,9.0,3801.7181933500005,290.9177075999978,136.0
