date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,20185.071773800002,0.0,0,0,0.0,23.738226200000003,0.0,0.0,0,1000,0,20168.0,20168.0,20185.071773800002,20168.0,20168.0,20218.0,-32.92822619999788,0.0
2020-01-03,1680.4567889000027,0.0,1000,1000,0.0,5.3699849,0.0,0.0,1000,0,0,20185.071773800002,20170.456788900003,19900.456788900003,20328.0,20328.0,20058.0,-157.54321109999728,0.0
2020-01-06,1680.4567889000027,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19690.456788900003,19690.456788900003,19580.456788900003,19848.0,19848.0,19738.0,-157.54321109999728,0.0
2020-01-07,1680.4567889000027,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19600.456788900003,19600.456788900003,19540.456788900003,19758.0,19758.0,19698.0,-157.54321109999728,0.0
2020-01-08,1680.4567889000027,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19300.456788900003,19300.456788900003,19200.456788900003,19458.0,19458.0,19358.0,-157.54321109999728,0.0
2020-01-09,1680.4567889000027,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,19330.456788900003,19330.456788900003,19980.456788900003,19488.0,19488.0,20138.0,-157.54321109999728,0.0
2020-01-10,19678.060384200002,0.0,0,0,0.0,23.3814047,0.0,0.0,0,1000,0,20090.456788900003,20090.456788900003,19678.060384200002,20248.0,20248.0,19868.0,-189.93961579999814,0.0
2020-01-13,1643.689804000005,0.0,1000,1000,0.0,5.3605802,0.0,0.0,1000,0,0,19678.060384200002,19663.689804000005,20253.689804000005,19858.0,19858.0,20448.0,-194.3101959999949,0.0
2020-01-14,20000.746382900004,0.0,0,0,0.0,23.7484211,0.0,0.0,0,1000,0,20293.689804000005,20293.689804000005,20000.746382900004,20488.0,20488.0,20228.0,-227.2536170999956,0.0
2020-01-15,1636.2041994000065,0.0,1000,1000,0.0,5.3671835,0.0,0.0,1000,0,0,20000.746382900004,19986.204199400006,20336.204199400006,20188.0,20188.0,20538.0,-201.79580059999353,0.0
2020-01-16,20013.230388500007,0.0,0,0,0.0,23.768810900000002,0.0,0.0,0,1000,0,20286.204199400006,20286.204199400006,20013.230388500007,20488.0,20488.0,20248.0,-234.7696114999926,0.0
2020-01-17,1588.657004400011,0.0,1000,1000,0.0,5.3683841,0.0,0.0,1000,0,0,20013.230388500007,19998.65700440001,20578.65700440001,20248.0,20248.0,20828.0,-249.34299559998908,0.0
2020-01-20,20894.27006780001,0.0,0,0,0.0,24.716936600000004,0.0,0.0,0,1000,0,20468.65700440001,20468.65700440001,20894.27006780001,20718.0,20718.0,21178.0,-283.729932199989,0.0
