date,exit_date,open,close,next_open,net,cash,gross,stage,dividend,exit0935close,exit0935open,prev_r1,prev_r3,prev_r5,prev_r20,prev_bias20,prev_vol20,prev_intraday,prev_clv,prev_volume_ratio,prev_market1,prev_market20,prev_relative20,today_gap,return1450,range1450,clv1450,volume_ratio1450,morning_return,afternoon_return,tail_return,tail_volume_ratio,breakout_distance,breakdown_distance,known_gapdays,model_valid
2025-10-28,2025-10-29,71.18,73.99,78.12,5.392907775427648,3992.788036251007,5.5818353831599055,U,0.0,80.5,80.39,8.193308550185874,11.151848457073044,17.24137931034482,10.075642965204246,10.202350660365965,4.781118390923251,5.053421888535947,0.8101851851851865,1.2654037138830467,1.1804891842073895,4.629606312354895,5.446036652849351,-2.171522814733362,1.6492578339746933,6.239692138537647,0.61453744493392,1.0957350551283853,5.352627142455724,-1.3735164688625123,-0.32345013477089735,0.9129337263773104,-2.3114515915995226,3.920191091752123,1.0,True
2025-08-06,2025-08-07,34.1,34.3,36.2,5.349127903751763,1835.9540595,5.5393586005831,U,0.0,37.3,37.3,6.308765544434336,1.271308870268717,14.579207765183666,35.47101934026078,22.54115913205954,3.405990683037717,4.626865671641789,0.86995515695067,1.3688925985331366,0.9569032956356027,3.434543197488771,32.03647614277201,-2.710413694721814,-2.5962910128387917,2.9671897289586284,0.5000000000000034,0.8171763216730087,0.5571847507331418,-0.43744531933508357,0.14667057788206872,0.5978703722697112,-1.5002885170224967,1.5466983938132062,1.0,True
2023-08-25,2023-08-28,21.2,20.32,21.43,5.251924183552547,1067.99786305,5.462598425196852,C,0.0,20.87,20.9,5.107778819119035,9.897109260166603,7.269249163079894,1.3556258472662064,1.5897459124055047,4.08533527429183,-0.31111111111111756,0.3785714285714288,1.35227749489641,0.12479851153948118,-4.179072220288383,5.534698067554588,-5.483727151136875,-9.808292465448055,5.617476593847517,0.03174603174603112,1.2997838690032828,-3.7735849056603765,-0.8333333333333193,-2.0813165537270084,0.995326569223906,-5.687645687645682,0.0,3.0,True
2023-08-23,2023-08-24,22.17,21.34,22.5,5.174933902656293,1105.1528558000018,5.435801312089983,R,0.0,22.38,22.4,9.995100440960304,7.364897178383534,4.955586722767635,-4.133529145955683,1.4400013101217635,3.8526894327403047,5.89622641509433,1.0,1.3456482309855975,0.8844583651540727,-3.4407169155901918,-0.6928122303654916,-1.247216035634735,-4.677060133630295,4.944320712694891,0.30630630630630534,0.9153228829002323,-4.059539918809207,0.611189468735307,-0.6960556844547661,0.6924172008526503,-3.4731619305367722,1.614434947768273,1.0,True
2020-02-06,2020-02-07,18.54,18.92,19.9,4.911177644421066,929.9235598000038,5.1797040169133,U,0.0,19.5,19.52,3.7180910099888997,-6.550000000000011,-2.0953378732320393,6.1931818181818254,0.6001560944102424,3.921033369344859,2.9185022026431806,0.4610778443113775,1.5049161636669457,1.2503202149113601,-7.300471081962212,13.493652900144038,-0.8025682182985716,0.6420545746388395,3.21027287319421,0.5833333333333318,,2.4271844660194164,-0.9478672985781977,-0.7387862796833788,,-1.3116474291710367,1.8959913326110467,1.0,False
2026-05-28,2026-05-29,70.0,75.0,78.75,4.812113525589931,3611.414710125,5.000000000000004,U,0.0,79.11,79.12,0.14289797084880984,4.347826086956519,2.831988261188556,7.798800184586985,4.507325802482942,3.4281357044921337,0.2575107296137302,0.0962962962962965,1.1275243185025492,-1.2458806481346674,0.33888572377893666,7.459914460808048,-0.11415525114154557,7.134703196347036,10.516552511415512,0.8385345997286296,1.4082105175186233,4.885714285714293,2.260964314900571,-0.2524246047562073,1.6547976310470063,-0.6615506747816857,8.969521044992735,1.0,True
2024-06-05,2024-06-06,23.67,23.7,24.88,4.7762628700570655,1132.790425900003,4.978902953586495,R,0.0,25.34,25.34,-0.3351487222455263,-0.6265664160400974,-1.3681592039801016,-6.264775413711609,-3.0601849965364303,2.767029190321649,-0.33514872224550407,0.7555555555555564,0.5799995855670266,0.4128811647091668,-1.7961723625028458,-4.468603051208763,-0.5044136191677095,-0.2522068095838548,2.143757881462791,0.5294117647058836,0.5413812092898262,0.5492184199408445,-0.2941176470588225,-0.5448449287510426,0.5817339272350563,-1.001251564455563,1.1508951406649537,1.0,True
2024-04-25,2024-04-26,21.66,22.19,23.22,4.436740724110993,985.2367101500056,4.641730509238395,R,0.0,23.7,23.68,8.013598834385638,0.8616780045351602,-1.1555555555555541,-6.984525303220401,0.14409221902018654,3.608032838343573,5.803996194100858,0.7904191616766456,1.2385766144833839,0.7559553305740874,0.6118615585901654,-7.596386861810567,-2.607913669064743,-0.08992805755395628,3.6420863309352463,0.6913580246913575,0.6602512842782364,2.216066481994461,0.3613369467027949,0.18034265103696878,0.5199057428531073,-1.1125945705384943,2.5854108956602007,1.0,True
2025-11-19,2025-11-20,64.5,65.06,68.06,4.423937560225007,2880.0715851000023,4.611128189363667,R,0.0,66.32,66.36,-0.33877425315674836,-4.8095308133548675,-4.865500514478882,-4.82352941176466,-8.63983173467151,4.425495960035708,1.6810683424980377,0.4606060606060598,0.6442593500899921,-0.8112139400188512,0.5995635406005562,-5.4230929523652165,-0.3399258343634082,0.4326328800988932,3.7391841779975303,0.3305785123966928,0.8640980841661164,1.333333333333342,-0.5507955936352449,-0.3678724708767511,0.6210895529164095,-2.4317021915340797,1.2461059190031154,1.0,True
2026-05-13,2026-05-14,64.1,70.84,74.0,4.273835079638287,3029.538993732002,4.460756634669671,U,0.0,72.3,72.5,-2.201974183750932,0.3427859146151402,2.4173027989821794,17.048346055979692,2.4360371251103574,3.376827732517593,-2.2316684378320906,0.4382022471910131,0.9550991775698131,-0.24926741779041084,6.260897159456946,10.787448896522744,-0.46583850931678494,9.999999999999986,10.776397515527956,1.0,1.8837660522631023,9.687987519500796,0.7538045797183868,0.0,0.14514286562768117,0.0,10.860719874804392,1.0,True
