date,minimum_old_shares,outstanding_before,bought_today
2022-01-11,1000,0,0
2022-01-13,1000,0,0
2022-01-21,1000,0,0
2022-01-25,1000,0,0
2022-01-27,1000,0,0
2022-03-07,1000,0,0
2022-03-10,1000,0,0
2022-03-15,1000,0,0
2022-03-24,1000,0,0
2022-03-29,1000,0,0
2022-04-07,1000,0,0
2022-04-11,1000,0,0
2022-04-19,1000,0,0
2022-04-21,1000,0,0
2022-04-25,1000,0,0
2022-05-06,1000,0,0
2022-05-24,1000,0,0
2022-06-16,1000,0,0
2022-06-22,1000,0,0
2022-06-29,1000,0,0
2022-07-07,1000,0,0
2022-07-14,1000,0,0
2022-07-29,1000,0,0
2022-08-03,1000,0,0
2022-08-12,1000,0,0
2022-08-19,1000,0,0
2022-08-29,1000,0,0
2022-09-13,1000,0,0
2022-09-16,1000,0,0
2022-09-20,1000,0,0
2022-09-22,1000,0,0
2022-09-29,1000,0,0
2022-10-10,1000,0,0
2022-10-19,1000,0,0
2022-10-24,1000,0,0
2022-10-26,1000,0,0
2022-10-28,1000,0,0
2022-11-18,1000,0,0
2022-11-23,1000,0,0
2022-11-28,1000,0,0
2022-12-02,1000,0,0
2022-12-07,1000,0,0
2022-12-19,1000,0,0
2022-12-22,1000,0,0
2022-12-27,1000,0,0
2023-01-06,1000,0,0
2023-01-11,1000,0,0
2023-01-18,1000,0,0
2023-01-20,1000,0,0
2023-01-31,1000,0,0
2023-02-07,1000,0,0
2023-02-16,1000,0,0
2023-02-23,1000,0,0
2023-02-27,1000,0,0
2023-03-06,1000,0,0
2023-03-10,1000,0,0
2023-03-28,1000,0,0
2023-04-13,1000,0,0
2023-04-24,1000,0,0
2023-04-27,1000,0,0
2023-05-11,1000,0,0
2023-05-19,1000,0,0
2023-05-23,1000,0,0
2023-06-06,1000,0,0
2023-06-15,1000,0,0
2023-06-26,1000,0,0
2023-07-12,1000,0,0
2023-07-17,1000,0,0
2023-07-19,1000,0,0
2023-08-09,1000,0,0
2023-08-11,1000,0,0
2023-08-15,1000,0,0
2023-08-18,1000,0,0
2023-08-25,1000,0,0
2023-09-05,1000,0,0
2023-09-07,1000,0,0
2023-09-14,1000,0,0
2023-09-20,1000,0,0
2023-09-25,1000,0,0
2023-09-28,1000,0,0
2023-10-12,1000,0,0
2023-10-16,1000,0,0
2023-10-19,1000,0,0
2023-10-25,1000,0,0
2023-11-01,1000,0,0
2023-11-10,1000,0,0
2023-11-16,1000,0,0
2023-11-22,1000,0,0
2023-11-27,1000,0,0
2023-11-29,1000,0,0
2023-12-04,1000,0,0
2023-12-13,1000,0,0
2023-12-15,1000,0,0
2023-12-20,1000,0,0
2023-12-22,1000,0,0
2023-12-26,1000,0,0
2024-01-02,1000,0,0
2024-01-05,1000,0,0
2024-01-09,1000,0,0
2024-01-12,1000,0,0
2024-01-17,1000,0,0
2024-01-26,1000,0,0
2024-01-30,1000,0,0
2024-02-23,1000,0,0
2024-02-28,1000,0,0
2024-03-13,1000,0,0
2024-03-21,1000,0,0
2024-03-25,1000,0,0
2024-03-27,1000,0,0
2024-04-02,1000,0,0
2024-04-10,1000,0,0
2024-04-30,1000,0,0
2024-05-08,1000,0,0
2024-05-16,1000,0,0
2024-05-21,1000,0,0
2024-05-24,1000,0,0
2024-05-28,1000,0,0
2024-05-31,1000,0,0
2024-06-12,1000,0,0
2024-06-19,1000,0,0
2024-06-24,1000,0,0
2024-07-02,1000,0,0
2024-07-04,1000,0,0
2024-07-12,1000,0,0
2024-07-17,1000,0,0
2024-07-19,1000,0,0
2024-07-23,1000,0,0
2024-07-30,1000,0,0
2024-08-01,1000,0,0
2024-08-05,1000,0,0
2024-08-07,1000,0,0
2024-08-12,1000,0,0
2024-08-19,1000,0,0
2024-08-26,1000,0,0
2024-09-02,1000,0,0
2024-09-06,1000,0,0
2024-09-12,1000,0,0
2024-09-25,1000,0,0
2024-10-15,1000,0,0
2024-10-17,1000,0,0
2024-10-29,1000,0,0
2024-11-01,1000,0,0
2024-11-06,1000,0,0
2024-11-12,1000,0,0
2024-11-14,1000,0,0
2024-11-18,1000,0,0
2024-11-22,1000,0,0
2024-11-28,1000,0,0
2024-12-04,1000,0,0
2024-12-09,1000,0,0
2024-12-13,1000,0,0
2024-12-23,1000,0,0
2024-12-30,1000,0,0
2025-01-02,1000,0,0
2025-01-09,1000,0,0
2025-01-15,1000,0,0
2025-01-20,1000,0,0
2025-01-23,1000,0,0
2025-01-27,1000,0,0
2025-02-11,1000,0,0
2025-02-13,1000,0,0
2025-02-18,1000,0,0
2025-02-20,1000,0,0
2025-02-28,1000,0,0
2025-03-07,1000,0,0
2025-03-13,1000,0,0
2025-03-19,1000,0,0
2025-03-21,1000,0,0
2025-03-25,1000,0,0
2025-03-28,1000,0,0
2025-04-03,1000,0,0
2025-04-14,1000,0,0
2025-04-24,1000,0,0
2025-05-07,1000,0,0
2025-05-09,1000,0,0
2025-05-13,1000,0,0
2025-05-15,1000,0,0
2025-05-23,1000,0,0
2025-05-27,1000,0,0
2025-05-30,1000,0,0
2025-06-17,1000,0,0
2025-06-19,1000,0,0
2025-06-24,1000,0,0
2025-06-26,1000,0,0
2025-07-09,1000,0,0
2025-07-16,1000,0,0
2025-07-18,1000,0,0
2025-07-22,1000,0,0
2025-08-14,1000,0,0
2025-08-21,1000,0,0
2025-08-26,1000,0,0
2025-09-26,1000,0,0
2025-09-30,1000,0,0
2025-10-10,1000,0,0
2025-10-14,1000,0,0
2025-10-17,1000,0,0
2025-10-30,1000,0,0
2025-11-11,1000,0,0
2025-11-14,1000,0,0
2025-11-24,1000,0,0
2025-11-27,1000,0,0
2025-12-11,1000,0,0
2025-12-15,1000,0,0
2025-12-18,1000,0,0
2025-12-26,1000,0,0
2025-12-31,1000,0,0
2026-01-08,1000,0,0
2026-01-13,1000,0,0
2026-01-19,1000,0,0
2026-01-23,1000,0,0
2026-01-28,1000,0,0
2026-02-02,1000,0,0
2026-02-09,1000,0,0
2026-02-11,1000,0,0
2026-03-03,1000,0,0
2026-03-11,1000,0,0
2026-03-17,1000,0,0
2026-03-19,1000,0,0
2026-03-23,1000,0,0
2026-03-26,1000,0,0
2026-04-02,1000,0,0
2026-04-15,1000,0,0
2026-04-30,1000,0,0
2026-05-15,1000,0,0
2026-05-21,1000,0,0
2026-05-27,1000,0,0
2026-05-29,1000,0,0
2026-06-05,1000,0,0
2026-06-12,1000,0,0
2026-06-16,1000,0,0
2026-06-23,1000,0,0
2026-06-26,1000,0,0
2026-07-01,1000,0,0
2026-07-10,1000,0,0
2026-07-15,1000,0,0
2026-07-17,1000,0,0
2026-07-24,1000,0,0
2026-07-28,1000,0,0
2026-07-30,1000,0,0
2026-08-13,1000,0,0
2026-08-28,1000,0,0
2026-09-01,1000,0,0
2026-09-04,1000,0,0
2026-09-08,1000,0,0
2026-09-10,1000,0,0
