date,minimum_old_shares,outstanding_before,bought_today
2020-01-03,1000,0,0
2020-01-10,1000,0,0
2020-01-14,1000,0,0
2020-01-16,1000,0,0
2020-02-13,1000,0,0
2020-02-19,1000,0,0
2020-02-28,1000,0,0
2020-03-03,1000,0,0
2020-03-09,1000,0,0
2020-03-11,1000,0,0
2020-03-16,1000,0,0
2020-03-18,1000,0,0
2020-03-23,1000,0,0
2020-03-26,1000,0,0
2020-03-27,2000,0,1
2020-04-09,1000,0,0
2020-04-17,1000,0,0
2020-04-23,1000,0,0
2020-05-07,1000,0,0
2020-05-14,1000,0,0
2020-05-21,1000,0,0
2020-05-22,2000,0,1
2020-06-04,1000,0,0
2020-06-08,1000,0,0
2020-06-11,1000,0,0
2020-06-15,1000,0,0
2020-07-10,1000,0,0
2020-07-15,1000,0,0
2020-07-16,2000,0,1
2020-07-24,1000,0,0
2020-07-30,1000,0,0
2020-08-11,1000,0,0
2020-08-19,1000,0,0
2020-08-26,1000,0,0
2020-08-31,1000,0,0
2020-09-03,1000,0,0
2020-09-10,1000,0,0
2020-09-22,1000,0,0
2020-09-24,1000,0,0
2020-10-19,1000,0,0
2020-10-21,1000,0,0
2020-10-23,1000,0,0
2020-10-30,1000,0,0
2020-11-11,1000,0,0
2020-11-25,1000,0,0
2020-11-26,2000,0,1
2020-12-09,1000,0,0
2020-12-10,2000,0,1
2020-12-16,1000,0,0
2020-12-22,1000,0,0
2020-12-24,1000,0,0
2021-01-19,1000,0,0
2021-01-26,1000,0,0
2021-01-28,1000,0,0
2021-02-02,1000,0,0
2021-02-03,2000,0,1
2021-02-05,1000,0,0
2021-02-22,1000,0,0
2021-02-23,2000,0,1
2021-02-25,1000,0,0
2021-03-02,1000,0,0
2021-03-04,1000,0,0
2021-03-08,1000,0,0
2021-03-10,1000,0,0
2021-03-25,1000,0,0
2021-03-29,1000,0,0
2021-04-02,1000,0,0
2021-04-20,1000,0,0
2021-04-22,1000,0,0
2021-04-30,1000,0,0
2021-05-07,1000,0,0
2021-05-17,1000,0,0
2021-05-21,1000,0,0
2021-05-24,2000,0,1
2021-06-02,1000,0,0
2021-06-15,1000,0,0
2021-06-21,1000,0,0
2021-06-29,1000,0,0
2021-07-01,1000,0,0
2021-07-02,2000,0,1
2021-07-07,1000,0,0
2021-07-08,2000,0,1
2021-07-14,1000,0,0
2021-07-16,1000,0,0
2021-07-22,1000,0,0
2021-07-27,1000,0,0
2021-07-28,2000,0,1
2021-07-29,2000,0,1
2021-08-05,1000,0,0
2021-08-11,1000,0,0
2021-08-17,1000,0,0
2021-08-19,1000,0,0
2021-08-26,1000,0,0
2021-08-27,2000,0,1
2021-08-30,2000,0,1
2021-09-14,1000,0,0
