date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,20185.071773800002,0.0,0,0,0.0,23.738226200000003,0.0,0.0,0,1000,0,20168.0,20168.0,20185.071773800002,20168.0,20168.0,20218.0,-32.92822619999788,0.0
2020-01-03,1680.4567889000027,0.0,1000,1000,0.0,5.3699849,0.0,0.0,1000,0,0,20185.071773800002,20170.456788900003,19900.456788900003,20328.0,20328.0,20058.0,-157.54321109999728,0.0
2020-01-06,19548.257917900002,0.0,0,0,0.0,23.248871,0.0,0.0,0,1000,0,19690.456788900003,19690.456788900003,19548.257917900002,19848.0,19848.0,19738.0,-189.7420820999978,0.0
2020-01-07,1613.9393387000018,0.0,1000,1000,0.0,5.3585792,0.0,0.0,1000,0,0,19548.257917900002,19533.939338700002,19473.939338700002,19758.0,19758.0,19698.0,-224.06066129999817,0.0
2020-01-08,19102.317873900003,0.0,0,0,0.0,22.861464800000004,0.0,0.0,0,1000,0,19233.939338700002,19233.939338700002,19102.317873900003,19458.0,19458.0,19358.0,-255.68212609999682,0.0
2020-01-09,1438.1396974000018,0.0,1000,1000,0.0,5.3531765,0.0,0.0,1000,0,0,19102.317873900003,19088.1396974,19738.1396974,19488.0,19488.0,20138.0,-399.86030259999825,0.0
2020-01-10,19435.7432927,0.0,0,0,0.0,23.3814047,0.0,0.0,0,1000,0,19848.1396974,19848.1396974,19435.7432927,20248.0,20248.0,19868.0,-432.2567072999991,0.0
2020-01-13,1401.3727125000041,0.0,1000,1000,0.0,5.3605802,0.0,0.0,1000,0,0,19435.7432927,19421.372712500004,20011.372712500004,19858.0,19858.0,20448.0,-436.6272874999959,0.0
2020-01-14,19758.429291400003,0.0,0,0,0.0,23.7484211,0.0,0.0,0,1000,0,20051.372712500004,20051.372712500004,19758.429291400003,20488.0,20488.0,20228.0,-469.5707085999966,0.0
2020-01-15,1393.8871079000055,0.0,1000,1000,0.0,5.3671835,0.0,0.0,1000,0,0,19758.429291400003,19743.887107900006,20093.887107900006,20188.0,20188.0,20538.0,-444.1128920999945,0.0
2020-01-16,19770.913297000006,0.0,0,0,0.0,23.768810900000002,0.0,0.0,0,1000,0,20043.887107900006,20043.887107900006,19770.913297000006,20488.0,20488.0,20248.0,-477.0867029999936,0.0
2020-01-17,1346.33991290001,0.0,1000,1000,0.0,5.3683841,0.0,0.0,1000,0,0,19770.913297000006,19756.33991290001,20336.33991290001,20248.0,20248.0,20828.0,-491.66008709999005,0.0
2020-01-20,20651.95297630001,0.0,0,0,0.0,24.716936600000004,0.0,0.0,0,1000,0,20226.33991290001,20226.33991290001,20651.95297630001,20718.0,20718.0,21178.0,-526.04702369999,0.0
