entry,exit,days,sale_cash,final_cash,restored
2020-01-02,2020-01-03,1,18337.8911476,5338.030977800001,True
2020-01-10,2020-01-13,1,17988.5977906,5283.248008000006,True
2020-01-14,2020-01-15,1,18347.8709578,5257.40159880001,True
2020-01-16,2020-01-17,1,18367.8305782,5191.453608800013,True
2020-01-20,2020-01-21,1,19295.9529268,5262.822151600016,True
2020-01-23,2020-02-03,1,19954.6204,7194.08219160002,True
2020-02-11,2020-02-12,1,19186.1750146,7275.795224600024,True
2020-02-18,2020-02-19,1,18806.942227000003,7408.714078600031,True
2020-02-24,2020-02-25,1,20094.337742800002,7828.008428400037,True
2020-02-28,2020-03-02,1,17040.515821599998,7545.877904000037,True
2020-03-11,2020-03-12,1,16501.6060708,7775.90864980004,True
2020-03-25,2020-03-26,1,13517.642821000001,7864.873002600043,True
2020-04-03,2020-04-07,1,13926.8150392,7422.050754800046,True
2020-04-15,2020-04-16,1,13836.996747399999,7490.022227200048,True
2020-04-17,2020-04-20,1,13956.7544698,7367.435215800051,True
2020-04-21,2020-04-22,1,14126.4112432,7414.504977800054,True
2020-04-23,2020-04-24,1,13926.8150392,7362.080537800057,True
2020-04-29,2020-04-30,1,14206.2497248,7238.73377640006,True
2020-05-06,2020-05-07,1,14725.1998552,7193.888336600065,True
2020-05-20,2020-05-21,1,13817.037127,7111.767586000064,True
2020-05-27,2020-05-28,1,13447.7841496,7040.781465600065,True
2020-06-01,2020-06-02,1,13846.9765576,6968.579745200068,True
2020-06-17,2020-06-18,1,14216.229535,6915.27399520007,True
2020-06-19,2020-06-22,1,14316.027637,6851.654145000071,True
2020-06-29,2020-06-30,1,15184.2711244,6825.431165600074,True
2020-07-02,2020-07-03,1,15573.483722199999,6727.951574800072,True
2020-07-09,2020-07-10,1,16681.242654399997,6707.180295600072,True
2020-07-14,2020-07-15,1,16551.5051218,6406.518480800074,True
2020-07-21,2020-07-22,1,15393.8471386,6339.6165106000735,True
2020-07-30,2020-07-31,1,14256.148775799998,6296.199400800071,True
2020-08-13,2020-08-14,1,15134.3720734,6400.260974000072,True
2020-08-18,2020-08-19,1,15144.3518836,6344.128954000073,True
2020-08-28,2020-08-31,1,14715.220045,6199.211902200075,True
2020-09-02,2020-09-03,1,14735.179665399999,6074.254470800077,True
2020-09-09,2020-09-10,1,13876.9159882,5931.890179000078,True
2020-09-14,2020-09-15,1,13817.037127,5899.820429400079,True
2020-09-21,2020-09-22,1,13707.2592148,5938.156371200081,True
2020-10-13,2020-10-14,1,13896.8756086,6015.9557038000785,True
2020-10-21,2020-10-22,1,13607.4611128,6024.56494500008,True
2020-10-23,2020-10-26,1,13557.5620618,5993.285335400084,True
2020-10-28,2020-10-29,1,13906.8554188,6121.105279000083,True
2020-11-04,2020-11-05,1,13437.804339400001,5859.955744800087,True
2020-11-06,2020-11-09,1,13966.73428,5537.1343394000905,True
2020-11-16,2020-11-17,1,14246.1689656,5503.75781980009,True
