date,cash,receivable,shares,settled_next_day,dividend_tax_reserve,fees,dividend_tax_paid,dividend_received,buy_quantity,sell_quantity,restoration_missing_shares,equity_open_before,equity_open,equity_close,hold_equity_open,hold_equity_after,hold_equity_close,relative_equity,restore_cash_gap
2020-01-02,23861.071773800002,0.0,0,0,0.0,23.738226200000003,0.0,0.0,0,1000,0,23844.0,23844.0,23861.071773800002,23844.0,23844.0,23894.0,-32.92822619999788,0.0
2020-01-03,5356.456788900003,0.0,1000,1000,0.0,5.3699849,0.0,0.0,1000,0,0,23861.071773800002,23846.456788900003,23576.456788900003,24004.0,24004.0,23734.0,-157.54321109999728,0.0
2020-01-06,23224.257917900002,0.0,0,0,0.0,23.248871,0.0,0.0,0,1000,0,23366.456788900003,23366.456788900003,23224.257917900002,23524.0,23524.0,23414.0,-189.7420820999978,0.0
2020-01-07,5289.939338700002,0.0,1000,1000,0.0,5.3585792,0.0,0.0,1000,0,0,23224.257917900002,23209.939338700002,23149.939338700002,23434.0,23434.0,23374.0,-224.06066129999817,0.0
2020-01-08,22778.317873900003,0.0,0,0,0.0,22.861464800000004,0.0,0.0,0,1000,0,22909.939338700002,22909.939338700002,22778.317873900003,23134.0,23134.0,23034.0,-255.68212609999682,0.0
2020-01-09,5114.139697400002,0.0,1000,1000,0.0,5.3531765,0.0,0.0,1000,0,0,22778.317873900003,22764.1396974,23414.1396974,23164.0,23164.0,23814.0,-399.86030259999825,0.0
2020-01-10,23111.7432927,0.0,0,0,0.0,23.3814047,0.0,0.0,0,1000,0,23524.1396974,23524.1396974,23111.7432927,23924.0,23924.0,23544.0,-432.2567072999991,0.0
2020-01-13,5077.372712500004,0.0,1000,1000,0.0,5.3605802,0.0,0.0,1000,0,0,23111.7432927,23097.372712500004,23687.372712500004,23534.0,23534.0,24124.0,-436.6272874999959,0.0
2020-01-14,23434.429291400003,0.0,0,0,0.0,23.7484211,0.0,0.0,0,1000,0,23727.372712500004,23727.372712500004,23434.429291400003,24164.0,24164.0,23904.0,-469.5707085999966,0.0
2020-01-15,5069.8871079000055,0.0,1000,1000,0.0,5.3671835,0.0,0.0,1000,0,0,23434.429291400003,23419.887107900006,23769.887107900006,23864.0,23864.0,24214.0,-444.1128920999945,0.0
2020-01-16,23446.913297000006,0.0,0,0,0.0,23.768810900000002,0.0,0.0,0,1000,0,23719.887107900006,23719.887107900006,23446.913297000006,24164.0,24164.0,23924.0,-477.0867029999936,0.0
2020-01-17,5022.33991290001,0.0,1000,1000,0.0,5.3683841,0.0,0.0,1000,0,0,23446.913297000006,23432.33991290001,24012.33991290001,23924.0,23924.0,24504.0,-491.66008709999005,0.0
2020-01-20,24327.95297630001,0.0,0,0,0.0,24.716936600000004,0.0,0.0,0,1000,0,23902.33991290001,23902.33991290001,24327.95297630001,24394.0,24394.0,24854.0,-526.04702369999,0.0
2020-01-21,5112.96878430001,0.0,1000,1000,0.0,5.384192,0.0,0.0,1000,0,0,24327.95297630001,24312.96878430001,24202.96878430001,24714.0,24714.0,24604.0,-401.03121569998984,0.0
2020-01-22,25926.28741780001,0.0,0,0,0.0,26.256366500000002,0.0,0.0,0,1000,0,24012.96878430001,24012.96878430001,25926.28741780001,24414.0,24414.0,26364.0,-437.7125821999907,0.0
2020-01-23,5410.627212800009,0.0,1000,1000,0.0,5.410205,0.0,0.0,1000,0,0,25926.28741780001,25910.62721280001,25410.62721280001,26014.0,26014.0,25514.0,-103.37278719999085,0.0
2020-02-03,5410.627212800009,0.0,1000,1000,0.0,0.0,0.0,0.0,0,0,0,23410.62721280001,23410.62721280001,23410.62721280001,23514.0,23514.0,23514.0,-103.37278719999085,0.0
2020-02-04,23398.24600300001,0.0,0,0,0.0,23.371209800000003,0.0,0.0,0,1000,0,22510.62721280001,22510.62721280001,23398.24600300001,22614.0,22614.0,23534.0,-135.75399699998889,0.0
2020-02-05,5223.802621400013,0.0,1000,1000,0.0,5.3633816,0.0,0.0,1000,0,0,23398.24600300001,23383.802621400013,23913.802621400013,23674.0,23674.0,24204.0,-290.19737859998713,0.0
2020-02-06,24110.053870600015,0.0,0,0,0.0,24.288750800000003,0.0,0.0,0,1000,0,23763.802621400013,23763.802621400013,24110.053870600015,24054.0,24054.0,24434.0,-323.9461293999848,0.0
2020-02-07,4194.705671600019,0.0,1000,1000,0.0,5.398199,0.0,0.0,1000,0,0,24110.053870600015,24094.70567160002,23494.70567160002,25414.0,25414.0,24814.0,-1319.2943283999812,0.0
2020-02-10,23070.97211570002,0.0,0,0,0.0,24.278555900000004,0.0,0.0,0,1000,0,23094.70567160002,23094.70567160002,23070.97211570002,24414.0,24414.0,24424.0,-1353.0278842999796,0.0
2020-02-11,4246.19072760002,0.0,1000,1000,0.0,5.3763881,0.0,0.0,1000,0,0,23070.97211570002,23056.19072760002,23476.19072760002,24324.0,24324.0,24744.0,-1267.8092723999798,0.0
2020-02-12,23362.09249410002,0.0,0,0,0.0,24.5232335,0.0,0.0,0,1000,0,23326.19072760002,23326.19072760002,23362.09249410002,24594.0,24594.0,24664.0,-1301.9075058999806,0.0
2020-02-13,4237.155103000019,0.0,1000,1000,0.0,5.3823911,0.0,0.0,1000,0,0,23362.09249410002,23347.15510300002,22657.15510300002,24624.0,24624.0,23934.0,-1276.8448969999808,0.0
2020-02-14,22554.27246150002,0.0,0,0,0.0,23.7076415,0.0,0.0,0,1000,0,22497.15510300002,22497.15510300002,22554.27246150002,23774.0,23774.0,23864.0,-1309.7275384999812,0.0
2020-02-17,4099.683477100021,0.0,1000,1000,0.0,5.3689844,0.0,0.0,1000,0,0,22554.27246150002,22539.68347710002,23289.68347710002,23954.0,23954.0,24704.0,-1414.3165228999787,0.0
2020-02-18,22916.04109060002,0.0,0,0,0.0,24.217386500000003,0.0,0.0,0,1000,0,23299.68347710002,23299.68347710002,22916.04109060002,24714.0,24714.0,24364.0,-1447.9589093999784,0.0
2020-02-19,4251.34290410002,0.0,1000,1000,0.0,5.3731865,0.0,0.0,1000,0,0,22916.04109060002,22901.34290410002,22741.34290410002,24164.0,24164.0,24004.0,-1262.65709589998,0.0
2020-02-20,23027.76129720002,0.0,0,0,0.0,24.176606900000003,0.0,0.0,0,1000,0,22841.34290410002,22841.34290410002,23027.76129720002,24104.0,24104.0,24324.0,-1296.2387027999794,0.0
2020-02-21,4343.052710500022,0.0,1000,1000,0.0,5.3735867,0.0,0.0,1000,0,0,23027.76129720002,23013.052710500022,23943.052710500022,24184.0,24184.0,25114.0,-1170.947289499978,0.0
2020-02-24,24447.45018190002,0.0,0,0,0.0,25.532528600000003,0.0,0.0,0,1000,0,24093.052710500022,24093.052710500022,24447.45018190002,25264.0,25264.0,25654.0,-1206.5498180999784,0.0
2020-02-25,4782.23198540002,0.0,1000,1000,0.0,5.3931965,0.0,0.0,1000,0,0,24447.45018190002,24432.23198540002,24742.23198540002,25164.0,25164.0,25474.0,-731.7680145999802,0.0
2020-02-26,23458.80232750002,0.0,0,0,0.0,24.074657900000002,0.0,0.0,0,1000,0,24332.23198540002,24332.23198540002,23458.80232750002,25064.0,25064.0,24224.0,-765.1976724999804,0.0
